,Pr@3,Rc@3,time,type
0,0.3333333333333333,0.25,0.013811600000000368,ELASTIC
1,0.3333333333333333,0.25,0.17270010000000013,FAISS
2,0.3333333333333333,0.25,0.013356599999998053,ELASTIC
3,0.3333333333333333,0.25,0.1514259000000031,FAISS
4,0.3333333333333333,0.25,0.013849200000002782,ELASTIC
5,0.3333333333333333,0.25,0.14781789999999972,FAISS
6,0.3333333333333333,0.25,0.016266500000000406,ELASTIC
7,0.3333333333333333,0.25,0.15161880000000139,FAISS
8,0.3333333333333333,0.25,0.015547099999999148,ELASTIC
9,0.0,0.0,0.14669070000000062,FAISS
10,0.3333333333333333,0.25,0.011597099999999472,ELASTIC
11,0.0,0.0,0.14642760000000266,FAISS
12,0.3333333333333333,0.25,0.012536399999998338,ELASTIC
13,0.3333333333333333,0.25,0.14735710000000068,FAISS
14,0.3333333333333333,0.25,0.01356219999999908,ELASTIC
15,0.0,0.0,0.15231310000000065,FAISS
16,0.3333333333333333,0.25,0.01636850000000223,ELASTIC
17,0.0,0.0,0.1441359999999996,FAISS
18,0.0,0.0,0.012076999999997895,ELASTIC
19,0.0,0.0,0.15206180000000202,FAISS
20,0.3333333333333333,0.25,0.012077200000000232,ELASTIC
21,0.0,0.0,0.1486590999999997,FAISS
22,0.3333333333333333,0.25,0.01450089999999804,ELASTIC
23,0.3333333333333333,0.25,0.15095930000000024,FAISS
24,0.3333333333333333,0.25,0.013866999999997631,ELASTIC
25,0.3333333333333333,0.25,0.14351379999999736,FAISS
26,0.3333333333333333,0.25,0.01197960000000009,ELASTIC
27,0.0,0.0,0.14762699999999995,FAISS
28,0.3333333333333333,0.25,0.016711199999999593,ELASTIC
29,0.0,0.0,0.14957349999999892,FAISS
30,0.3333333333333333,0.25,0.0201469000000003,ELASTIC
31,0.0,0.0,0.1522514000000008,FAISS
32,0.3333333333333333,0.25,0.011845199999999778,ELASTIC
33,0.0,0.0,0.15226469999999992,FAISS
34,0.3333333333333333,0.25,0.016974100000002323,ELASTIC
35,0.0,0.0,0.14885929999999803,FAISS
36,0.3333333333333333,0.25,0.011870500000000561,ELASTIC
37,0.3333333333333333,0.25,0.15428469999999805,FAISS
38,0.0,0.0,0.01191679999999451,ELASTIC
39,0.0,0.0,0.15011030000000147,FAISS
