word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
138,138,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
1545,1545,adj:sg:gen:m3:pos,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
18,18,adj:sg:gen:m3:pos,space,disamb
września,wrzesień,subst:sg:gen:m3,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,none,disamb
.,.,interp,none,disamb
Kodeks,kodeks,subst:sg:nom:m3,none,new
morski,morski,adj:sg:nom:m3:pos,space,disamb
TYTUŁ,tytuł,subst:sg:nom:m3,none,new
I,I,adj:sg:nom:m3:pos,none,disamb
Przepisy,przepis,subst:pl:nom:m3,none,new
ogólne,ogólny,adj:pl:nom:m3:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Kodeks,kodeks,subst:sg:nom:m3,newline,new
morski,morski,adj:sg:nom:m3:pos,space,disamb
reguluje,regulować,fin:sg:ter:imperf,space,disamb
stosunki,stosunek,subst:pl:acc:m3,space,disamb
prawne,prawny,adj:pl:acc:m3:pos,space,disamb
związane,związany,adj:pl:acc:m3:pos,space,disamb
z,z,prep:inst:nwok,space,disamb
żeglugą,żegluga,subst:sg:inst:f,space,disamb
morską,morski,adj:sg:inst:f:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
W,w,prep:loc:nwok,newline,new
stosunkach,stosunki,subst:pl:loc:n,space,disamb
cywilnoprawnych,cywilnoprawny,adj:pl:loc:n:pos,space,disamb
związanych,związany,adj:pl:loc:n:pos,space,disamb
z,z,prep:inst:nwok,space,disamb
żeglugą,żegluga,subst:sg:inst:f,space,disamb
morską,morski,adj:sg:inst:f:pos,space,disamb
stosuje,stosować,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
-,-,interp,space,disamb
w,w,prep:loc:nwok,space,disamb
braku,brak,subst:sg:gen:m3,none,new
odpowiednich,odpowiedni,adj:pl:gen:m3:pos,space,disamb
przepisów,przepis,subst:pl:gen:m3,space,disamb
Kodeksu,kodeks,subst:sg:gen:m3,space,disamb
morskiego,morski,adj:sg:gen:m3:pos,space,disamb
-,-,interp,space,disamb
przepisy,przepis,subst:pl:nom:m3,space,disamb
prawa,prawo,subst:sg:gen:n,space,disamb
cywilnego,cywilny,adj:sg:gen:n:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Stosunki,stosunki,subst:pl:nom:n,newline,new
pracy,praca,subst:sg:gen:f,space,disamb
na,na,prep:loc,space,disamb
statkach,statki,subst:pl:loc:n,space,disamb
morskich,morski,adj:pl:loc:n:pos,space,disamb
",",",",interp,none,disamb
sprawy,sprawa,subst:pl:acc:f,space,disamb
bezpieczeństwa,bezpieczeństwo,subst:sg:gen:n,space,disamb
morskiego,morski,adj:sg:gen:n:pos,space,disamb
",",",",interp,none,disamb
zapobieganie,zapobiegać,ger:sg:nom:n:imperf:aff,none,new
zanieczyszczaniu,zanieczyszczać,ger:sg:dat:n:imperf:aff,space,disamb
morza,morze,subst:sg:gen:n,space,disamb
przez,przez,prep:acc:nwok,space,disamb
statki,statek,subst:pl:acc:m3,space,disamb
oraz,oraz,conj,space,disamb
inne,inny,adj:pl:acc:f:pos,space,disamb
sprawy,sprawa,subst:pl:acc:f,space,disamb
w,w,prep:loc:nwok,space,disamb
zakresie,zakres,subst:sg:loc:m3,none,new
nieuregulowanym,uregulować,ppas:sg:loc:m3:perf:neg,space,disamb
przepisami,przepis,subst:pl:inst:m3,space,disamb
Kodeksu,kodeks,subst:sg:gen:m3,space,disamb
morskiego,morski,adj:sg:gen:m3:pos,space,disamb
",",",",interp,none,disamb
regulują,regulować,fin:pl:ter:imperf,space,disamb
odrębne,odrębny,adj:pl:acc:m3:pos,space,disamb
przepisy,przepis,subst:pl:acc:m3,none,new
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Statkiem,statek,subst:sg:inst:m3,newline,new
morskim,morski,adj:sg:inst:m3:pos,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
każde,każdy,adj:sg:nom:n:pos,space,disamb
urządzenie,urządzenie,subst:sg:nom:n,space,disamb
pływające,pływać,pact:sg:nom:n:imperf:aff,space,disamb
przeznaczone,przeznaczyć,ppas:sg:nom:n:perf:aff,space,disamb
lub,lub,conj,space,disamb
używane,używać,ppas:sg:nom:n:imperf:aff,space,disamb
do,do,prep:gen,none,new
żeglugi,żegluga,subst:sg:gen:f,space,disamb
morskiej,morski,adj:sg:gen:f:pos,space,disamb
",",",",interp,none,disamb
zwane,zwać,ppas:sg:nom:n:imperf:aff,none,disamb
dalej,daleko,adv:com,space,disamb
"""","""",interp,space,disamb
statkiem,statek,subst:sg:inst:m3,none,disamb
"""","""",interp,none,disamb
.,.,interp,none,disamb
§,§,interp,none,new
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Statkiem,statek,subst:sg:inst:m3,newline,new
morskim,morski,adj:sg:inst:m3:pos,space,disamb
w,w,prep:loc:nwok,space,disamb
budowie,budowa,subst:sg:loc:f,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
statek,statek,subst:sg:nom:m3,space,disamb
",",",",interp,none,disamb
którego,który,adj:sg:gen:m3:pos,space,disamb
stępkę,stępka,subst:sg:acc:f,space,disamb
położono,położyć,imps:perf,space,disamb
lub,lub,conj,space,disamb
wykonano,wykonać,imps:perf,none,new
równorzędną,równorzędny,adj:sg:acc:f:pos,space,disamb
pracę,praca,subst:sg:acc:f,space,disamb
konstrukcyjną,konstrukcyjny,adj:sg:acc:f:pos,space,disamb
w,w,prep:loc:nwok,space,disamb
miejscu,miejsce,subst:sg:loc:n,space,disamb
wodowania,wodowanie,subst:sg:gen:n,space,disamb
",",",",interp,none,disamb
aż,aż,comp,space,disamb
do,do,prep:gen,space,disamb
zakończenia,zakończyć,ger:sg:gen:n:perf:aff,none,new
budowy,budowa,subst:sg:gen:f,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Kodeks,kodeks,subst:sg:nom:m3,newline,new
morski,morski,adj:sg:nom:m3:pos,space,disamb
stosuje,stosować,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
do,do,prep:gen,space,disamb
morskich,morski,adj:pl:gen:m3:pos,space,disamb
statków,statek,subst:pl:gen:m3,space,disamb
handlowych,handlowy,adj:pl:gen:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Morskim,morski,adj:sg:inst:m3:pos,newline,new
statkiem,statek,subst:sg:inst:m3,space,disamb
handlowym,handlowy,adj:sg:inst:m3:pos,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
statek,statek,subst:sg:nom:m3,space,disamb
przeznaczony,przeznaczyć,ppas:sg:nom:m3:perf:aff,space,disamb
lub,lub,conj,space,disamb
używany,używać,ppas:sg:nom:m3:imperf:aff,space,disamb
do,do,prep:gen,space,disamb
prowadzenia,prowadzić,ger:sg:gen:n:imperf:aff,none,new
działalności,działalność,subst:sg:gen:f,space,disamb
gospodarczej,gospodarczy,adj:sg:gen:f:pos,space,disamb
",",",",interp,none,disamb
a,a,conj,space,disamb
w,w,prep:loc:nwok,space,disamb
szczególności,szczególność,subst:sg:loc:f,space,disamb
do,do,prep:gen,space,disamb
:,:,interp,none,disamb
przewozu,przewóz,subst:sg:gen:m3,space,disamb
ładunku,ładunek,subst:sg:gen:m3,none,new
lub,lub,conj,space,disamb
pasażerów,pasażer,subst:pl:gen:m1,space,disamb
",",",",interp,none,disamb
rybołówstwa,rybołówstwo,subst:sg:gen:n,space,disamb
morskiego,morski,adj:sg:gen:n:pos,space,disamb
lub,lub,conj,space,disamb
pozyskiwania,pozyskiwać,ger:sg:gen:n:imperf:aff,space,disamb
innych,inny,adj:pl:gen:m1:pos,space,disamb
zasobów,zasób,subst:pl:gen:m3,none,new
morza,morze,subst:sg:gen:n,space,disamb
",",",",interp,none,disamb
holowania,holować,ger:sg:gen:n:imperf:aff,space,disamb
",",",",interp,none,disamb
ratownictwa,ratownictwo,subst:sg:gen:n,space,disamb
morskiego,morski,adj:sg:gen:n:pos,space,disamb
",",",",interp,none,disamb
wydobywania,wydobywać,ger:sg:gen:n:imperf:aff,space,disamb
mienia,mienie,subst:sg:gen:n,space,disamb
zatopionego,zatopić,ppas:sg:gen:m3:perf:aff,none,new
w,w,prep:loc:nwok,space,disamb
morzu,morze,subst:sg:loc:n,space,disamb
",",",",interp,none,disamb
pozyskiwania,pozyskiwać,ger:sg:gen:n:imperf:aff,space,disamb
zasobów,zasób,subst:pl:gen:m3,space,disamb
mineralnych,mineralny,adj:pl:gen:m3:pos,space,disamb
dna,dno,subst:sg:gen:n,space,disamb
morza,morze,subst:sg:gen:n,space,disamb
oraz,oraz,conj,space,disamb
zasobów,zasób,subst:pl:gen:m3,none,new
znajdującego,znajdować,pact:sg:gen:m3:imperf:aff,space,disamb
się,się,qub,space,disamb
pod,pod,prep:inst:nwok,space,disamb
nim,on,ppron3:sg:inst:m3:ter:akc:praep,space,disamb
wnętrza,wnętrze,subst:sg:gen:n,space,disamb
Ziemi,Ziemia,subst:sg:gen:f,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
4,4,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Do,do,prep:gen,none,new
statków,statek,subst:pl:gen:m3,space,disamb
morskich,morski,adj:pl:gen:m3:pos,space,disamb
używanych,używać,ppas:pl:gen:m3:imperf:aff,space,disamb
wyłącznie,wyłącznie,qub,space,disamb
do,do,prep:gen,space,disamb
celów,cel,subst:pl:gen:m3,space,disamb
naukowo,naukowy,adja,space,disamb
-,-,interp,none,disamb
badawczych,badawczy,adj:pl:gen:m3:pos,none,disamb
",",",",interp,none,disamb
sportowych,sportowy,adj:pl:gen:m3:pos,space,disamb
lub,lub,conj,none,new
rekreacyjnych,rekreacyjny,adj:pl:gen:n:pos,space,disamb
stosuje,stosować,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
Kodeks,kodeks,subst:sg:nom:m3,space,disamb
morski,morski,adj:sg:nom:m3:pos,space,disamb
z,z,prep:inst:nwok,space,disamb
wyjątkiem,wyjątek,subst:sg:inst:m3,space,disamb
przepisów,przepis,subst:pl:gen:m3,space,disamb
o,o,prep:loc,space,disamb
przewozie,przewóz,subst:sg:loc:m3,space,disamb
ładunku,ładunek,subst:sg:gen:m3,none,new
lub,lub,conj,space,disamb
pasażerów,pasażer,subst:pl:gen:m1,space,disamb
oraz,oraz,conj,space,disamb
przepisów,przepis,subst:pl:gen:m3,space,disamb
o,o,prep:loc,space,disamb
awarii,awaria,subst:sg:loc:f,space,disamb
wspólnej,wspólny,adj:sg:loc:f:pos,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
5,5,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
