word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1998,1998,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
137,137,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
887,887,num:pl:nom:m3:rec,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
13,13,adj:sg:gen:m3:pos,space,disamb
października,październik,subst:sg:gen:m3,space,disamb
1998,1998,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,none,new
systemie,system,subst:sg:loc:m3,space,disamb
ubezpieczeń,ubezpieczenie,subst:pl:gen:n,space,disamb
społecznych,społeczny,adj:pl:gen:n:pos,space,disamb
Rozdział,rozdział,subst:sg:nom:m3,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
Przepisy,przepis,subst:pl:nom:m3,none,new
ogólne,ogólny,adj:pl:nom:m3:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Ubezpieczenia,ubezpieczenie,subst:pl:nom:n,none,new
społeczne,społeczny,adj:pl:nom:n:pos,space,disamb
obejmują,obejmować,fin:pl:ter:imperf,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
ubezpieczenie,ubezpieczenie,subst:sg:nom:n,space,disamb
emerytalne,emerytalny,adj:sg:nom:n:pos,space,disamb
",",",",interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
ubezpieczenia,ubezpieczenie,subst:pl:acc:n,space,disamb
rentowe,rentowy,adj:pl:acc:n:pos,space,disamb
",",",",interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
ubezpieczenie,ubezpieczenie,subst:sg:acc:n,space,disamb
w,w,prep:loc:nwok,space,disamb
razie,raz,subst:sg:loc:m3,space,disamb
choroby,choroba,subst:sg:gen:f,space,disamb
i,i,conj,space,disamb
macierzyństwa,macierzyństwo,subst:sg:gen:n,space,disamb
",",",",interp,none,disamb
zwane,zwać,ppas:sg:nom:n:imperf:aff,space,disamb
dalej,daleko,adv:com,space,disamb
"""","""",interp,none,new
ubezpieczeniem,ubezpieczenie,subst:sg:inst:n,none,disamb
chorobowym,chorobowy,adj:sg:inst:n:pos,space,disamb
"""","""",interp,none,disamb
",",",",interp,none,disamb
4,4,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
ubezpieczenie,ubezpieczenie,subst:sg:acc:n,space,disamb
z,z,prep:gen:nwok,space,disamb
tytułu,tytuł,subst:sg:gen:m3,space,disamb
wypadków,wypadek,subst:pl:gen:m3,space,disamb
przy,przy,prep:loc,space,disamb
pracy,praca,subst:sg:loc:f,space,disamb
i,i,conj,space,disamb
chorób,choroba,subst:pl:gen:f,space,disamb
zawodowych,zawodowy,adj:pl:gen:f:pos,space,disamb
",",",",interp,none,disamb
zwane,zwać,ppas:pl:nom:f:imperf:aff,space,disamb
dalej,daleko,adv:com,none,new
"""","""",interp,space,disamb
ubezpieczeniem,ubezpieczenie,subst:sg:inst:n,none,disamb
wypadkowym,wypadkowy,adj:sg:inst:n:pos,space,disamb
"""","""",interp,none,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Ustawa,ustawa,subst:sg:nom:f,newline,new
określa,określać,fin:sg:ter:imperf,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zasady,zasada,subst:pl:acc:f,space,disamb
podlegania,podlegać,ger:sg:gen:n:imperf:aff,space,disamb
ubezpieczeniom,ubezpieczenie,subst:pl:dat:n,space,disamb
społecznym,społeczny,adj:pl:dat:n:pos,space,disamb
",",",",interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zasady,zasada,subst:pl:acc:f,space,disamb
ustalania,ustalać,ger:sg:gen:n:imperf:aff,space,disamb
składek,składka,subst:pl:gen:f,space,disamb
na,na,prep:acc,space,disamb
ubezpieczenia,ubezpieczenie,subst:pl:acc:n,space,disamb
społeczne,społeczny,adj:pl:acc:n:pos,space,disamb
oraz,oraz,conj,space,disamb
podstaw,podstawić,impt:sg:sec:perf,space,disamb
ich,on,ppron3:pl:gen:n:ter:akc:npraep,space,disamb
wymiaru,wymiar,subst:sg:gen:m3,none,new
",",",",interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zasady,zasada,subst:pl:acc:f,space,disamb
",",",",interp,none,disamb
tryb,tryb,subst:sg:nom:m3,space,disamb
i,i,conj,space,disamb
terminy,termin,subst:pl:nom:m3,space,disamb
:,:,interp,none,disamb
a,a,subst:sg:nom:n,none,new
),),interp,none,disamb
zgłoszeń,zgłoszenie,subst:pl:gen:n,space,disamb
do,do,prep:gen,space,disamb
ubezpieczeń,ubezpieczenie,subst:pl:gen:n,space,disamb
społecznych,społeczny,adj:pl:gen:n:pos,space,disamb
",",",",interp,none,disamb
b,b,subst:sg:nom:n,none,new
),),interp,none,disamb
prowadzenia,prowadzić,ger:sg:gen:n:imperf:aff,space,disamb
ewidencji,ewidencja,subst:sg:gen:f,space,disamb
ubezpieczonych,ubezpieczony,subst:pl:gen:m1,space,disamb
i,i,conj,space,disamb
płatników,płatnik,subst:pl:gen:m1,space,disamb
składek,składka,subst:pl:gen:f,space,disamb
",",",",interp,none,disamb
c,cent,brev:npun,none,new
),),interp,none,disamb
rozliczania,rozliczać,ger:sg:gen:n:imperf:aff,space,disamb
składek,składka,subst:pl:gen:f,space,disamb
na,na,prep:acc,space,disamb
ubezpieczenia,ubezpieczenie,subst:pl:acc:n,space,disamb
społeczne,społeczny,adj:pl:acc:n:pos,space,disamb
oraz,oraz,conj,space,disamb
zasiłków,zasiłek,subst:pl:gen:m3,space,disamb
z,z,prep:gen:nwok,space,disamb
ubezpieczeń,ubezpieczenie,subst:pl:gen:n,none,new
chorobowego,chorobowy,adj:sg:gen:m3:pos,space,disamb
i,i,conj,space,disamb
wypadkowego,wypadkowy,adj:sg:gen:n:pos,space,disamb
",",",",interp,none,disamb
d,dawny,brev:pun,none,new
),),interp,none,disamb
opłacania,opłacać,ger:sg:gen:n:imperf:aff,space,disamb
składek,składka,subst:pl:gen:f,space,disamb
na,na,prep:acc,space,disamb
ubezpieczenia,ubezpieczenie,subst:pl:acc:n,space,disamb
społeczne,społeczny,adj:pl:acc:n:pos,space,disamb
",",",",interp,none,disamb
4,4,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zasady,zasada,subst:pl:acc:f,space,disamb
prowadzenia,prowadzić,ger:sg:gen:n:imperf:aff,space,disamb
kont,konto,subst:pl:gen:n,space,disamb
ubezpieczonych,ubezpieczony,adj:pl:gen:n:pos,space,disamb
oraz,oraz,conj,space,disamb
kont,konto,subst:pl:gen:n,space,disamb
płatników,płatnik,subst:pl:gen:m1,space,disamb
składek,składka,subst:pl:gen:f,space,disamb
",",",",interp,none,disamb
5,5,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zasady,zasada,subst:pl:acc:f,space,disamb
działania,działać,ger:sg:gen:n:imperf:aff,space,disamb
Funduszu,fundusz,subst:sg:gen:m3,space,disamb
Ubezpieczeń,ubezpieczenie,subst:pl:gen:n,space,disamb
Społecznych,społeczny,adj:pl:gen:n:pos,space,disamb
",",",",interp,none,disamb
zwanego,zwać,ppas:sg:gen:m3:imperf:aff,space,disamb
dalej,daleko,adv:com,space,disamb
"""","""",interp,space,disamb
FUS,FUS,subst:sg:nom:f,none,disamb
"""","""",interp,none,disamb
",",",",interp,none,disamb
6,6,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
organizację,organizacja,subst:sg:acc:f,space,disamb
",",",",interp,none,disamb
zasady,zasada,subst:pl:acc:f,space,disamb
działania,działać,ger:sg:gen:n:imperf:aff,space,disamb
i,i,conj,space,disamb
finansowania,finansować,ger:sg:gen:n:imperf:aff,space,disamb
Zakładu,zakład,subst:sg:gen:m3,space,disamb
Ubezpieczeń,ubezpieczenie,subst:pl:gen:n,space,disamb
Społecznych,społeczny,adj:pl:gen:m3:pos,none,new
",",",",interp,none,disamb
zwanego,zwać,ppas:sg:gen:m3:imperf:aff,space,disamb
dalej,daleko,adv:com,space,disamb
"""","""",interp,space,disamb
Zakładem,zakład,subst:sg:inst:m3,none,disamb
"""","""",interp,none,disamb
",",",",interp,none,disamb
7,7,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zasady,zasada,subst:pl:acc:f,space,disamb
działania,działać,ger:sg:gen:n:imperf:aff,space,disamb
Funduszu,fundusz,subst:sg:gen:m3,space,disamb
Rezerwy,rezerwa,subst:sg:gen:f,space,disamb
Demograficznej,demograficzny,adj:sg:gen:f:pos,space,disamb
",",",",interp,none,disamb
zwanego,zwać,ppas:sg:gen:m3:imperf:aff,space,disamb
dalej,daleko,adv:com,space,disamb
"""","""",interp,space,disamb
FRD,FRD,subst:sg:nom:m3,none,disamb
"""","""",interp,none,disamb
",",",",interp,none,disamb
oraz,oraz,conj,none,new
zasady,zasada,subst:pl:nom:f,space,disamb
zarządzania,zarządzać,ger:sg:gen:n:imperf:aff,space,disamb
tym,ten,adj:sg:inst:m3:pos,space,disamb
funduszem,fundusz,subst:sg:inst:m3,space,disamb
",",",",interp,none,disamb
8,8,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zasady,zasada,subst:pl:acc:f,space,disamb
kontroli,kontrola,subst:sg:gen:f,space,disamb
wykonywania,wykonywać,ger:sg:gen:n:imperf:aff,space,disamb
zadań,zadanie,subst:pl:gen:n,space,disamb
z,z,prep:gen:nwok,space,disamb
zakresu,zakres,subst:sg:gen:m3,space,disamb
ubezpieczeń,ubezpieczenie,subst:pl:gen:n,space,disamb
społecznych,społeczny,adj:pl:gen:n:pos,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Rodzaje,rodzaj,subst:pl:acc:m3,newline,new
świadczeń,świadczenie,subst:pl:gen:n,space,disamb
z,z,prep:gen:nwok,space,disamb
ubezpieczeń,ubezpieczenie,subst:pl:gen:n,space,disamb
społecznych,społeczny,adj:pl:gen:n:pos,space,disamb
",",",",interp,none,disamb
warunki,warunek,subst:pl:acc:m3,space,disamb
nabywania,nabywać,ger:sg:gen:n:imperf:aff,space,disamb
prawa,prawo,subst:sg:gen:n,space,disamb
do,do,prep:gen,space,disamb
nich,on,ppron3:pl:gen:f:ter:akc:praep,none,new
oraz,oraz,conj,space,disamb
zasady,zasada,subst:pl:acc:f,space,disamb
i,i,conj,space,disamb
tryb,tryb,subst:sg:acc:m3,space,disamb
ich,on,ppron3:pl:gen:f:ter:akc:npraep,space,disamb
przyznawania,przyznawać,ger:sg:gen:n:imperf:aff,space,disamb
określają,określać,fin:pl:ter:imperf,space,disamb
odrębne,odrębny,adj:pl:nom:m3:pos,space,disamb
przepisy,przepis,subst:pl:nom:m3,space,disamb
.,.,interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Wypłacalność,wypłacalność,subst:sg:nom:f,newline,new
świadczeń,świadczenie,subst:pl:gen:n,space,disamb
z,z,prep:gen:nwok,space,disamb
ubezpieczeń,ubezpieczenie,subst:pl:gen:n,space,disamb
społecznych,społeczny,adj:pl:gen:n:pos,space,disamb
gwarantowana,gwarantować,ppas:sg:nom:f:imperf:aff,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
przez,przez,prep:acc:nwok,space,disamb
państwo,państwo,subst:sg:nom:n,none,new
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
