word,base,info,trait,more
Tekst,tekst,subst:sg:nom:m3,none,new
ustawy,ustawa,subst:sg:gen:f,space,disamb
ustalony,ustalić,ppas:sg:nom:m3:perf:aff,none,new
ostatecznie,ostatecznie,adv:pos,space,disamb
po,po,prep:loc,space,disamb
rozpatrzeniu,rozpatrzyć,ger:sg:loc:n:perf:aff,space,disamb
poprawek,poprawka,subst:pl:gen:f,space,disamb
Senatu,senat,subst:sg:gen:m3,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
6,6,adj:sg:gen:m3:pos,space,disamb
grudnia,grudzień,subst:sg:gen:m3,none,new
2008,2008,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,none,new
podatku,podatek,subst:sg:loc:m3,space,disamb
akcyzowym,akcyzowy,adj:sg:inst:m3:pos,none,new
[,[,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,disamb
],],interp,none,disamb
),),interp,none,disamb
Dział,dział,subst:sg:nom:m3,none,new
I,I,adj:sg:nom:m3:pos,space,disamb
Przepisy,przepis,subst:pl:nom:m3,none,new
ogólne,ogólny,adj:pl:nom:m3:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Ustawa,ustawa,subst:sg:nom:f,newline,new
określa,określać,fin:sg:ter:imperf,space,disamb
opodatkowanie,opodatkowanie,subst:sg:nom:n,none,new
podatkiem,podatek,subst:sg:inst:m3,space,disamb
akcyzowym,akcyzowy,adj:sg:inst:m3:pos,space,disamb
",",",",interp,none,disamb
zwanym,zwać,ppas:sg:inst:m3:imperf:aff,space,disamb
dalej,daleko,adv:com,space,disamb
„,„,interp,space,disamb
akcyzą,akcyza,subst:sg:inst:f,none,disamb
”,”,interp,none,disamb
",",",",interp,none,disamb
wyrobów,wyrób,subst:pl:gen:m3,space,disamb
akcyzowych,akcyzowy,adj:pl:gen:m3:pos,space,disamb
oraz,oraz,conj,none,new
samochodów,samochód,subst:pl:gen:m3,space,disamb
osobowych,osobowy,adj:pl:gen:m3:pos,space,disamb
",",",",interp,none,disamb
organizację,organizacja,subst:sg:acc:f,space,disamb
obrotu,obrót,subst:sg:gen:m3,space,disamb
wyrobami,wyrób,subst:pl:inst:m3,space,disamb
akcyzowymi,akcyzowy,adj:pl:inst:m3:pos,space,disamb
",",",",interp,none,disamb
a,a,conj,space,disamb
także,także,conj,space,disamb
oznaczanie,oznaczać,ger:sg:nom:n:imperf:aff,none,new
znakami,znak,subst:pl:inst:m3,space,disamb
akcyzy,akcyza,subst:sg:gen:f,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Akcyza,akcyza,subst:sg:nom:f,newline,new
stanowi,stanowić,fin:sg:ter:imperf,space,disamb
dochód,dochód,subst:sg:nom:m3,none,new
budżetu,budżet,subst:sg:gen:m3,space,disamb
