word,base,info,trait,more
Tekst,tekst,subst:sg:nom:m3,none,new
ustawy,ustawa,subst:sg:gen:f,none,new
ustalony,ustalić,ppas:sg:nom:m3:perf:aff,space,disamb
ostatecznie,ostatecznie,adv:pos,space,disamb
po,po,prep:loc,space,disamb
rozpatrzeniu,rozpatrzyć,ger:sg:loc:n:perf:aff,space,disamb
poprawek,poprawka,subst:pl:gen:f,space,disamb
Senatu,senat,subst:sg:gen:m3,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
11,11,adj:sg:gen:m3:pos,space,disamb
lipca,lipiec,subst:sg:gen:m3,space,disamb
2014,2014,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,none,new
zmianie,zmiana,subst:sg:loc:f,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
–,–,interp,space,disamb
Prawo,prawo,subst:sg:nom:n,space,disamb
ochrony,ochrona,subst:sg:gen:f,space,disamb
środowiska,środowisko,subst:sg:gen:n,space,disamb
oraz,oraz,conj,none,new
niektórych,niektóry,adj:pl:gen:f:pos,space,disamb
innych,inny,adj:pl:gen:f:pos,space,disamb
ustaw,ustawa,subst:pl:gen:f,space,disamb
[,[,interp,none,disamb
1,1,adj:sg:nom:m3:pos,none,disamb
],],interp,none,disamb
),),interp,none,disamb
",",",",interp,none,disamb
[,[,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,disamb
],],interp,none,disamb
),),interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
W,w,prep:loc:nwok,none,new
ustawie,ustawa,subst:sg:loc:f,space,disamb
z,z,prep:gen:nwok,space,disamb
dnia,dzień,subst:sg:gen:m3,space,disamb
27,27,adj:sg:gen:m3:pos,space,disamb
