word,base,info,trait,more
Tekst,tekst,subst:sg:nom:m3,none,new
ustawy,ustawa,subst:sg:gen:f,space,disamb
ustalony,ustalić,ppas:sg:nom:m3:perf:aff,none,new
ostatecznie,ostatecznie,adv:pos,space,disamb
po,po,prep:loc,space,disamb
rozpatrzeniu,rozpatrzyć,ger:sg:loc:n:perf:aff,space,disamb
poprawek,poprawka,subst:pl:gen:f,space,disamb
Senatu,senat,subst:sg:gen:m3,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
24,24,adj:sg:gen:m3:pos,space,disamb
sierpnia,sierpień,subst:sg:gen:m3,space,disamb
2007,2007,adj:sg:gen:m3:pos,none,new
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,none,new
zmianie,zmiana,subst:sg:loc:f,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:loc,space,disamb
świadczeniach,świadczenie,subst:pl:loc:n,space,disamb
opieki,opieka,subst:sg:gen:f,space,disamb
zdrowotnej,zdrowotny,adj:sg:gen:f:pos,space,disamb
finansowanych,finansować,ppas:pl:gen:m3:imperf:aff,none,new
ze,z,prep:gen:wok,space,disamb
środków,środek,subst:pl:gen:m3,space,disamb
publicznych,publiczny,adj:pl:gen:m3:pos,space,disamb
oraz,oraz,conj,space,disamb
niektórych,niektóry,adj:pl:gen:f:pos,space,disamb
innych,inny,adj:pl:gen:f:pos,space,disamb
ustaw,ustawa,subst:pl:gen:f,space,disamb
[,[,interp,none,disamb
1,1,adj:sg:nom:m3:pos,none,disamb
],],interp,none,disamb
),),interp,none,disamb
",",",",interp,none,disamb
[,[,interp,none,new
2,2,adj:sg:nom:n:pos,none,disamb
],],interp,none,disamb
),),interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
W,w,prep:loc:nwok,none,new
ustawie,ustawa,subst:sg:loc:f,space,disamb
z,z,prep:gen:nwok,space,disamb
dnia,dzień,subst:sg:gen:m3,space,disamb
27,27,adj:sg:gen:m3:pos,space,disamb
sierpnia,sierpień,subst:sg:gen:m3,space,disamb
2004,2004,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:acc,space,disamb
świadczeniach,świadczenie,subst:pl:loc:n,none,new
opieki,opieka,subst:sg:gen:f,space,disamb
zdrowotnej,zdrowotny,adj:sg:gen:f:pos,space,disamb
finansowanych,finansować,ppas:pl:gen:m3:imperf:aff,space,disamb
ze,z,prep:gen:wok,space,disamb
środków,środek,subst:pl:gen:m3,space,disamb
publicznych,publiczny,adj:pl:gen:m3:pos,space,disamb
(,(,interp,space,disamb
Dz,dziennik,brev:pun,none,disamb
.,.,interp,none,disamb
U,U,brev:npun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,space,disamb
210,210,num:pl:nom:m3:rec,none,new
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
