word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
90,90,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
557,557,num:pl:nom:m3:rec,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
6,6,adj:sg:gen:m3:pos,space,disamb
czerwca,czerwiec,subst:sg:gen:m3,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Kodeks,kodeks,subst:sg:nom:m3,none,new
karny,karny,adj:sg:nom:m3:pos,space,disamb
wykonawczy,wykonawczy,adj:sg:nom:m3:pos,space,disamb
CZĘŚĆ,część,subst:sg:nom:f,none,new
OGÓLNA,ogólny,adj:sg:nom:f:pos,space,disamb
Rozdział,rozdział,subst:sg:nom:m3,none,new
I,I,adj:sg:nom:m3:pos,space,disamb
Zakres,zakres,subst:sg:nom:m3,none,new
obowiązywania,obowiązywać,ger:sg:gen:n:imperf:aff,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Wykonywanie,wykonywać,ger:sg:nom:n:imperf:aff,newline,new
orzeczeń,orzeczenie,subst:pl:gen:n,space,disamb
w,w,prep:loc:nwok,space,disamb
postępowaniu,postępowanie,subst:sg:loc:n,space,disamb
karnym,karny,adj:sg:loc:n:pos,space,disamb
",",",",interp,none,disamb
karnym,karny,adj:sg:loc:n:pos,space,disamb
skarbowym,skarbowy,adj:sg:loc:n:pos,space,disamb
i,i,conj,space,disamb
w,w,prep:loc:nwok,none,new
postępowaniu,postępowanie,subst:sg:loc:n,space,disamb
w,w,prep:loc:nwok,space,disamb
sprawach,sprawa,subst:pl:loc:f,space,disamb
o,o,prep:acc,space,disamb
wykroczenia,wykroczenie,subst:pl:acc:n,space,disamb
oraz,oraz,conj,space,disamb
kar,kara,subst:pl:gen:f,space,disamb
porządkowych,porządkowy,adj:pl:gen:f:pos,space,disamb
i,i,conj,space,disamb
środków,środek,subst:pl:gen:m3,none,new
przymusu,przymus,subst:sg:gen:m3,space,disamb
skutkujących,skutkować,pact:pl:gen:m3:imperf:aff,space,disamb
pozbawienie,pozbawić,ger:sg:acc:n:perf:aff,space,disamb
wolności,wolność,subst:sg:gen:f,space,disamb
odbywa,odbywać,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
według,według,prep:gen,space,disamb
przepisów,przepis,subst:pl:gen:m3,none,new
niniejszego,niniejszy,adj:sg:gen:m3:pos,space,disamb
kodeksu,kodeks,subst:sg:gen:m3,space,disamb
",",",",interp,none,disamb
chyba,chyba,qub,space,disamb
że,że,comp,space,disamb
ustawa,ustawa,subst:sg:nom:f,space,disamb
stanowi,stanowić,fin:sg:ter:imperf,space,disamb
inaczej,inaczej,adv,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
W,w,prep:loc:nwok,newline,new
postępowaniu,postępowanie,subst:sg:loc:n,space,disamb
wykonawczym,wykonawczy,adj:sg:loc:n:pos,space,disamb
w,w,prep:loc:nwok,space,disamb
kwestiach,kwestia,subst:pl:loc:f,space,disamb
nie,nie,qub,space,disamb
uregulowanych,uregulować,ppas:pl:loc:f:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
niniejszym,niniejszy,adj:sg:loc:m3:pos,space,disamb
kodeksie,kodeks,subst:sg:loc:m3,none,new
stosuje,stosować,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
odpowiednio,odpowiednio,adv:pos,space,disamb
przepisy,przepis,subst:pl:acc:m3,space,disamb
Kodeksu,kodeks,subst:sg:gen:m3,space,disamb
postępowania,postępowanie,subst:sg:gen:n,space,disamb
karnego,karny,adj:sg:gen:m3:pos,none,new
.,.,interp,none,disamb
Rozdział,rozdział,subst:sg:nom:m3,none,new
II,II,adj:sg:nom:m3:pos,space,disamb
Organy,organ,subst:pl:nom:m3,none,new
postępowania,postępowanie,subst:sg:gen:n,space,disamb
wykonawczego,wykonawczy,adj:sg:gen:n:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Organami,organ,subst:pl:inst:m3,none,new
wykonującymi,wykonywać,pact:pl:inst:m3:imperf:aff,space,disamb
orzeczenia,orzeczenie,subst:pl:acc:n,space,disamb
są,być,fin:pl:ter:imperf,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:m3:pos,none,new
),),interp,none,disamb
sąd,sąd,subst:sg:nom:m3,space,disamb
pierwszej,pierwszy,adj:sg:gen:f:pos,space,disamb
instancji,instancja,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
2,2,adj:sg:nom:m3:pos,none,new
),),interp,none,disamb
sąd,sąd,subst:sg:nom:m3,space,disamb
penitencjarny,penitencjarny,adj:sg:nom:m3:pos,space,disamb
",",",",interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
prezes,prezes,subst:sg:nom:m1,space,disamb
sądu,sąd,subst:sg:gen:m3,space,disamb
lub,lub,conj,space,disamb
upoważniony,upoważnić,ppas:sg:nom:m1:perf:aff,space,disamb
sędzia,sędzia,subst:sg:nom:m1,space,disamb
",",",",interp,none,disamb
4,4,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
sędzia,sędzia,subst:sg:nom:m1,space,disamb
penitencjarny,penitencjarny,adj:sg:nom:m1:pos,space,disamb
",",",",interp,none,disamb
5,5,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
dyrektor,dyrektor,subst:sg:nom:m1,space,disamb
zakładu,zakład,subst:sg:gen:m3,space,disamb
karnego,karny,adj:sg:gen:m3:pos,space,disamb
",",",",interp,none,disamb
aresztu,areszt,subst:sg:gen:m3,space,disamb
śledczego,śledczy,adj:sg:gen:m3:pos,space,disamb
",",",",interp,none,disamb
a,a,conj,space,disamb
także,także,conj,space,disamb
dyrektor,dyrektor,subst:sg:nom:m1,space,disamb
okręgowy,okręgowy,adj:sg:nom:m1:pos,none,new
i,i,conj,space,disamb
Dyrektor,dyrektor,subst:sg:nom:m1,space,disamb
Generalny,generalny,adj:sg:nom:m1:pos,space,disamb
Służby,służba,subst:sg:gen:f,space,disamb
Więziennej,więzienny,adj:sg:gen:f:pos,space,disamb
albo,albo,conj,space,disamb
osoba,osoba,subst:sg:nom:f,space,disamb
kierująca,kierować,pact:sg:nom:f:imperf:aff,none,new
innym,inny,adj:sg:inst:m3:pos,space,disamb
zakładem,zakład,subst:sg:inst:m3,space,disamb
przewidzianym,przewidzieć,ppas:sg:inst:m3:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
przepisach,przepis,subst:pl:loc:m3,space,disamb
prawa,prawo,subst:sg:gen:n,space,disamb
karnego,karny,adj:sg:gen:n:pos,space,disamb
wykonawczego,wykonawczy,adj:sg:gen:m3:pos,none,new
oraz,oraz,conj,space,disamb
komisja,komisja,subst:sg:nom:f,space,disamb
penitencjarna,penitencjarny,adj:sg:nom:f:pos,space,disamb
",",",",interp,none,disamb
6,6,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
sądowy,sądowy,adj:sg:nom:m1:pos,space,disamb
kurator,kurator,subst:sg:nom:m1,space,disamb
zawodowy,zawodowy,adj:sg:nom:m1:pos,space,disamb
",",",",interp,none,disamb
7,7,adj:sg:nom:m3:pos,none,new
),),interp,none,disamb
sądowy,sądowy,adj:sg:nom:m3:pos,space,disamb
lub,lub,conj,space,disamb
administracyjny,administracyjny,adj:sg:nom:m3:pos,space,disamb
organ,organ,subst:sg:nom:m3,space,disamb
egzekucyjny,egzekucyjny,adj:sg:nom:m3:pos,space,disamb
",",",",interp,none,disamb
8,8,adj:sg:nom:m3:pos,none,new
),),interp,none,disamb
urząd,urząd,subst:sg:nom:m3,space,disamb
skarbowy,skarbowy,adj:sg:nom:m3:pos,space,disamb
",",",",interp,none,disamb
9,9,adj:sg:nom:m3:pos,none,new
),),interp,none,disamb
odpowiedni,odpowiedni,adj:sg:acc:m3:pos,space,disamb
terenowy,terenowy,adj:sg:nom:m3:pos,space,disamb
organ,organ,subst:sg:nom:m3,space,disamb
administracji,administracja,subst:sg:gen:f,space,disamb
rządowej,rządowy,adj:sg:gen:f:pos,space,disamb
lub,lub,conj,space,disamb
samorządu,samorząd,subst:sg:gen:m3,space,disamb
terytorialnego,terytorialny,adj:sg:gen:m3:pos,none,new
",",",",interp,none,disamb
10,10,adj:sg:nom:m3:pos,none,new
),),interp,none,disamb
inny,inny,adj:sg:nom:m3:pos,space,disamb
organ,organ,subst:sg:nom:m3,space,disamb
uprawniony,uprawnić,ppas:sg:nom:m3:perf:aff,space,disamb
przez,przez,prep:acc:nwok,space,disamb
ustawę,ustawa,subst:sg:acc:f,space,disamb
do,do,prep:gen,space,disamb
wykonywania,wykonywać,ger:sg:gen:n:imperf:aff,space,disamb
orzeczeń,orzeczenie,subst:pl:gen:n,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Sąd,sąd,subst:sg:nom:m3,newline,new
",",",",interp,none,disamb
który,który,adj:sg:nom:m3:pos,space,disamb
wydał,wydać,praet:sg:m3:perf,space,disamb
orzeczenie,orzeczenie,subst:sg:acc:n,space,disamb
w,w,prep:loc:nwok,space,disamb
pierwszej,pierwszy,adj:sg:loc:f:pos,space,disamb
instancji,instancja,subst:sg:loc:f,space,disamb
",",",",interp,none,disamb
jest,być,fin:sg:ter:imperf,space,disamb
właściwy,właściwy,adj:sg:nom:m3:pos,space,disamb
również,również,qub,space,disamb
w,w,prep:loc:nwok,none,new
postępowaniu,postępowanie,subst:sg:loc:n,space,disamb
dotyczącym,dotyczyć,pact:sg:loc:n:imperf:aff,space,disamb
wykonania,wykonanie,subst:sg:gen:n,space,disamb
tego,ten,adj:sg:gen:n:pos,space,disamb
orzeczenia,orzeczenie,subst:sg:gen:n,space,disamb
",",",",interp,none,disamb
chyba,chyba,qub,space,disamb
że,że,comp,space,disamb
ustawa,ustawa,subst:sg:nom:f,space,disamb
stanowi,stanowić,fin:sg:ter:imperf,none,new
inaczej,inaczej,adv,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
W,w,prep:loc:nwok,newline,new
sprawach,sprawa,subst:pl:loc:f,space,disamb
zastrzeżonych,zastrzec,ppas:pl:loc:f:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
niniejszym,niniejszy,adj:sg:loc:m3:pos,space,disamb
kodeksie,kodeks,subst:sg:loc:m3,space,disamb
dla,dla,prep:gen,space,disamb
sądu,sąd,subst:sg:gen:m3,space,disamb
penitencjarnego,penitencjarny,adj:sg:gen:m3:pos,space,disamb
",",",",interp,none,disamb
właściwy,właściwy,adj:sg:nom:m3:pos,none,new
jest,być,fin:sg:ter:imperf,space,disamb
ten,ten,adj:sg:nom:m3:pos,space,disamb
sąd,sąd,subst:sg:nom:m3,space,disamb
penitencjarny,penitencjarny,adj:sg:nom:m3:pos,space,disamb
",",",",interp,none,disamb
w,w,prep:loc:nwok,space,disamb
którego,który,adj:sg:gen:m3:pos,space,disamb
okręgu,okręg,subst:sg:gen:m3,space,disamb
przebywa,przebywać,fin:sg:ter:imperf,space,disamb
skazany,skazać,ppas:sg:nom:m1:perf:aff,none,new
",",",",interp,none,disamb
