word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
88,88,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
553,553,num:pl:nom:f:congr,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
6,6,adj:sg:gen:m3:pos,space,disamb
czerwca,czerwiec,subst:sg:gen:m3,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Kodeks,kodeks,subst:sg:nom:m3,none,new
karny,karny,adj:sg:nom:m3:pos,space,disamb
CZĘŚĆ,część,subst:sg:nom:f,none,new
OGÓLNA,ogólny,adj:sg:nom:f:pos,space,disamb
Rozdział,rozdział,subst:sg:nom:m3,none,new
I,I,adj:sg:nom:m3:pos,space,disamb
Zasady,zasada,subst:sg:gen:f,none,new
odpowiedzialności,odpowiedzialność,subst:sg:gen:f,space,disamb
karnej,karny,adj:sg:gen:f:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Odpowiedzialności,odpowiedzialność,subst:sg:gen:f,newline,new
karnej,karny,adj:sg:gen:f:pos,space,disamb
podlega,podlegać,fin:sg:ter:imperf,space,disamb
ten,ten,adj:sg:nom:m1:pos,space,disamb
tylko,tylko,qub,space,disamb
",",",",interp,none,disamb
kto,kto,subst:sg:nom:m1,space,disamb
popełnia,popełniać,fin:sg:ter:imperf,space,disamb
czyn,czyn,subst:sg:acc:m3,space,disamb
zabroniony,zabronić,ppas:sg:acc:m3:perf:aff,space,disamb
pod,pod,prep:inst:nwok,none,new
groźbą,groźba,subst:sg:inst:f,space,disamb
kary,kara,subst:sg:gen:f,space,disamb
przez,przez,prep:acc:nwok,space,disamb
ustawę,ustawa,subst:sg:acc:f,space,disamb
obowiązującą,obowiązywać,pact:sg:acc:f:imperf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
czasie,czas,subst:sg:loc:m3,space,disamb
jego,on,ppron3:sg:gen:m3:ter:akc:npraep,space,disamb
popełnienia,popełnić,ger:sg:gen:n:perf:aff,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Nie,nie,qub,newline,new
stanowi,stanowić,fin:sg:ter:imperf,space,disamb
przestępstwa,przestępstwo,subst:sg:gen:n,space,disamb
czyn,czyn,subst:sg:nom:m3,space,disamb
zabroniony,zabronić,ppas:sg:nom:m3:perf:aff,space,disamb
",",",",interp,none,disamb
którego,który,adj:sg:gen:m3:pos,space,disamb
społeczna,społeczny,adj:sg:nom:f:pos,space,disamb
szkodliwość,szkodliwość,subst:sg:nom:f,space,disamb
jest,być,fin:sg:ter:imperf,none,new
znikoma,znikomy,adj:sg:nom:f:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Nie,nie,qub,newline,new
popełnia,popełniać,fin:sg:ter:imperf,space,disamb
przestępstwa,przestępstwo,subst:sg:gen:n,space,disamb
sprawca,sprawca,subst:sg:nom:m1,space,disamb
czynu,czyn,subst:sg:gen:m3,space,disamb
zabronionego,zabronić,ppas:sg:gen:m3:perf:aff,space,disamb
",",",",interp,none,disamb
jeżeli,jeżeli,comp,space,disamb
nie,nie,qub,space,disamb
można,można,pred,space,disamb
mu,on,ppron3:sg:dat:m1:ter:nakc:npraep,none,new
przypisać,przypisać,inf:perf,space,disamb
winy,wina,subst:pl:acc:f,space,disamb
w,w,prep:loc:nwok,space,disamb
czasie,czas,subst:sg:loc:m3,space,disamb
czynu,czyn,subst:sg:gen:m3,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Odpowiedzialności,odpowiedzialność,subst:sg:gen:f,none,new
karnej,karny,adj:sg:gen:f:pos,space,disamb
za,za,prep:acc,space,disamb
przestępstwo,przestępstwo,subst:sg:acc:n,space,disamb
skutkowe,skutkowy,adj:sg:acc:n:pos,space,disamb
popełnione,popełnić,ppas:sg:acc:n:perf:aff,space,disamb
przez,przez,prep:acc:nwok,space,disamb
zaniechanie,zaniechanie,subst:sg:acc:n,space,disamb
podlega,podlegać,fin:sg:ter:imperf,none,new
ten,ten,adj:sg:acc:m3:pos,space,disamb
tylko,tylko,qub,space,disamb
",",",",interp,none,disamb
na,na,prep:loc,space,disamb
kim,ki,adj:sg:loc:m3:pos,space,disamb
ciążył,ciążyć,praet:sg:m3:imperf,space,disamb
prawny,prawny,adj:sg:nom:m3:pos,space,disamb
",",",",interp,none,disamb
szczególny,szczególny,adj:sg:nom:m3:pos,space,disamb
obowiązek,obowiązek,subst:sg:nom:m3,space,disamb
zapobiegnięcia,zapobiec,ger:sg:gen:n:perf:aff,space,disamb
skutkowi,skutek,subst:sg:dat:m3,none,new
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Kary,kara,subst:pl:nom:f,none,new
oraz,oraz,conj,space,disamb
inne,inny,adj:pl:nom:m3:pos,space,disamb
środki,środek,subst:pl:nom:m3,space,disamb
przewidziane,przewidzieć,ppas:pl:nom:m3:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
tym,ten,adj:sg:loc:m3:pos,space,disamb
kodeksie,kodeks,subst:sg:loc:m3,space,disamb
stosuje,stosować,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
z,z,prep:inst:nwok,space,disamb
uwzględnieniem,uwzględnienie,subst:sg:inst:n,space,disamb
zasad,zasada,subst:pl:gen:f,none,new
humanitaryzmu,humanitaryzm,subst:sg:gen:m3,space,disamb
",",",",interp,none,disamb
w,w,prep:loc:nwok,space,disamb
szczególności,szczególność,subst:sg:loc:f,space,disamb
z,z,prep:inst:nwok,space,disamb
poszanowaniem,poszanować,ger:sg:inst:n:perf:aff,space,disamb
godności,godność,subst:sg:gen:f,space,disamb
człowieka,człowiek,subst:sg:gen:m1,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
4,4,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Jeżeli,jeżeli,comp,newline,new
w,w,prep:loc:nwok,space,disamb
czasie,czas,subst:sg:loc:m3,space,disamb
orzekania,orzekać,ger:sg:gen:n:imperf:aff,space,disamb
obowiązuje,obowiązywać,fin:sg:ter:imperf,space,disamb
ustawa,ustawa,subst:sg:nom:f,space,disamb
inna,inny,adj:sg:nom:f:pos,space,disamb
niż,niż,conj,space,disamb
w,w,prep:loc:nwok,space,disamb
czasie,czas,subst:sg:loc:m3,space,disamb
popełnienia,popełnić,ger:sg:gen:n:perf:aff,space,disamb
przestępstwa,przestępstwo,subst:pl:acc:n,none,new
",",",",interp,none,disamb
stosuje,stosować,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
ustawę,ustawa,subst:sg:acc:f,space,disamb
nową,nowy,adj:sg:acc:f:pos,space,disamb
",",",",interp,none,disamb
jednakże,jednakże,conj,space,disamb
należy,należeć,fin:sg:ter:imperf,space,disamb
stosować,stosować,inf:imperf,space,disamb
ustawę,ustawa,subst:sg:acc:f,none,new
obowiązującą,obowiązujący,adj:sg:acc:f:pos,space,disamb
poprzednio,poprzednio,adv:pos,space,disamb
",",",",interp,none,disamb
jeżeli,jeżeli,comp,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
względniejsza,względny,adj:sg:nom:f:com,space,disamb
dla,dla,prep:gen,space,disamb
sprawcy,sprawca,subst:sg:gen:m1,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Jeżeli,jeżeli,comp,newline,new
według,według,prep:gen,space,disamb
nowej,nowy,adj:sg:gen:f:pos,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
czyn,czyn,subst:sg:nom:m3,space,disamb
objęty,objąć,ppas:sg:nom:m3:perf:aff,space,disamb
wyrokiem,wyrok,subst:sg:inst:m3,space,disamb
zagrożony,zagrozić,ppas:sg:nom:m3:perf:aff,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
karą,kara,subst:sg:inst:f,space,disamb
",",",",interp,none,disamb
której,który,adj:sg:gen:f:pos,none,new
górna,górny,adj:sg:nom:f:pos,space,disamb
granica,granica,subst:sg:nom:f,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
niższa,niski,adj:sg:nom:f:com,space,disamb
od,od,prep:gen:nwok,space,disamb
kary,kara,subst:sg:gen:f,space,disamb
orzeczonej,orzec,ppas:sg:gen:f:perf:aff,space,disamb
",",",",interp,none,disamb
wymierzoną,wymierzyć,ppas:sg:acc:f:perf:aff,space,disamb
karę,kara,subst:sg:acc:f,space,disamb
obniża,obniżać,fin:sg:ter:imperf,none,new
się,się,qub,space,disamb
do,do,prep:gen,space,disamb
górnej,górny,adj:sg:gen:f:pos,space,disamb
granicy,granica,subst:sg:gen:f,space,disamb
ustawowego,ustawowy,adj:sg:gen:n:pos,space,disamb
zagrożenia,zagrożenie,subst:sg:gen:n,space,disamb
przewidzianego,przewidzieć,ppas:sg:gen:n:perf:aff,space,disamb
za,za,prep:acc,space,disamb
taki,taki,adj:sg:nom:m3:pos,none,new
czyn,czyn,subst:sg:nom:m3,space,disamb
w,w,prep:loc:nwok,space,disamb
nowej,nowy,adj:sg:loc:f:pos,space,disamb
ustawie,ustawa,subst:sg:loc:f,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Jeżeli,jeżeli,comp,newline,new
według,według,prep:gen,space,disamb
nowej,nowy,adj:sg:gen:f:pos,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
czyn,czyn,subst:sg:nom:m3,space,disamb
objęty,objąć,ppas:sg:nom:m3:perf:aff,space,disamb
wyrokiem,wyrok,subst:sg:inst:m3,space,disamb
nie,nie,qub,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
już,już,qub,space,disamb
zagrożony,zagrozić,ppas:sg:nom:m3:perf:aff,space,disamb
karą,kara,subst:sg:inst:f,none,new
pozbawienia,pozbawienie,subst:sg:gen:n,space,disamb
wolności,wolność,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
wymierzoną,wymierzyć,ppas:sg:acc:f:perf:aff,space,disamb
karę,kara,subst:sg:acc:f,space,disamb
pozbawienia,pozbawić,ger:sg:gen:n:perf:aff,space,disamb
wolności,wolność,subst:sg:gen:f,space,disamb
podlegającą,podlegać,pact:sg:inst:f:imperf:aff,none,new
wykonaniu,wykonać,ger:sg:dat:n:perf:aff,space,disamb
zamienia,zamieniać,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
na,na,prep:acc,space,disamb
grzywnę,grzywna,subst:sg:acc:f,space,disamb
albo,albo,conj,space,disamb
karę,kara,subst:sg:acc:f,space,disamb
ograniczenia,ograniczenie,subst:sg:gen:n,space,disamb
wolności,wolność,subst:pl:nom:f,none,new
",",",",interp,none,disamb
przyjmując,przyjmować,pcon:imperf,space,disamb
że,że,comp,space,disamb
jeden,jeden,adj:sg:acc:m3:pos,space,disamb
miesiąc,miesiąc,subst:sg:acc:m3,space,disamb
pozbawienia,pozbawienie,subst:sg:gen:n,space,disamb
wolności,wolność,subst:sg:gen:f,space,disamb
