word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1999,1999,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
83,83,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
930,930,num:pl:nom:m3:rec,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
10,10,adj:sg:gen:m3:pos,space,disamb
września,wrzesień,subst:sg:gen:m3,space,disamb
1999,1999,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Kodeks,kodeks,subst:sg:nom:m3,none,new
karny,karny,adj:sg:nom:m3:pos,space,disamb
skarbowy,skarbowy,adj:sg:nom:m3:pos,space,disamb
TYTUŁ,tytuł,subst:sg:nom:m3,none,new
I,i,conj,space,disamb
Przestępstwa,przestępstwo,subst:pl:nom:n,none,new
skarbowe,skarbowy,adj:pl:nom:n:pos,space,disamb
i,i,conj,space,disamb
wykroczenia,wykroczenie,subst:pl:nom:n,space,disamb
skarbowe,skarbowy,adj:pl:nom:n:pos,space,disamb
DZIAŁ,dział,subst:sg:nom:m3,none,new
I,i,conj,space,disamb
Część,część,subst:sg:nom:f,none,new
ogólna,ogólny,adj:sg:nom:f:pos,space,disamb
Rozdział,rozdział,subst:sg:nom:m3,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
Przepisy,przepis,subst:pl:nom:m3,none,new
wstępne,wstępny,adj:pl:nom:m3:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Odpowiedzialności,odpowiedzialność,subst:sg:gen:f,newline,new
karnej,karny,adj:sg:gen:f:pos,space,disamb
za,za,prep:acc,space,disamb
przestępstwo,przestępstwo,subst:sg:acc:n,space,disamb
skarbowe,skarbowy,adj:sg:acc:n:pos,space,disamb
lub,lub,conj,space,disamb
odpowiedzialności,odpowiedzialność,subst:sg:gen:f,space,disamb
za,za,prep:acc,space,disamb
wykroczenie,wykroczenie,subst:sg:nom:n,none,new
skarbowe,skarbowy,adj:sg:nom:n:pos,space,disamb
podlega,podlegać,fin:sg:ter:imperf,space,disamb
ten,ten,adj:sg:nom:m1:pos,space,disamb
tylko,tylko,qub,space,disamb
",",",",interp,none,disamb
kto,kto,subst:sg:nom:m1,space,disamb
popełnia,popełniać,fin:sg:ter:imperf,space,disamb
czyn,czyn,subst:sg:acc:m3,space,disamb
społecznie,społecznie,adv:pos,space,disamb
szkodliwy,szkodliwy,adj:sg:nom:m3:pos,none,new
",",",",interp,none,disamb
zabroniony,zabronić,ppas:sg:nom:m3:perf:aff,space,disamb
pod,pod,prep:inst:nwok,space,disamb
groźbą,groźba,subst:sg:inst:f,space,disamb
kary,kara,subst:sg:gen:f,space,disamb
przez,przez,prep:acc:nwok,space,disamb
ustawę,ustawa,subst:sg:acc:f,space,disamb
obowiązującą,obowiązywać,pact:sg:acc:f:imperf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
czasie,czas,subst:sg:loc:m3,space,disamb
jego,on,ppron3:sg:gen:m3:ter:akc:npraep,none,new
popełnienia,popełnić,ger:sg:gen:n:perf:aff,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Nie,nie,qub,newline,new
jest,być,fin:sg:ter:imperf,space,disamb
przestępstwem,przestępstwo,subst:sg:inst:n,space,disamb
skarbowym,skarbowy,adj:sg:inst:n:pos,space,disamb
lub,lub,conj,space,disamb
wykroczeniem,wykroczenie,subst:sg:inst:n,space,disamb
skarbowym,skarbowy,adj:sg:inst:n:pos,space,disamb
czyn,czyn,subst:sg:nom:m3,space,disamb
zabroniony,zabronić,ppas:sg:nom:m3:perf:aff,none,new
",",",",interp,none,disamb
którego,który,adj:sg:gen:n:pos,space,disamb
społeczna,społeczny,adj:sg:nom:f:pos,space,disamb
szkodliwość,szkodliwość,subst:sg:nom:f,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
znikoma,znikomy,adj:sg:nom:f:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Nie,nie,qub,newline,new
popełnia,popełniać,fin:sg:ter:imperf,space,disamb
przestępstwa,przestępstwo,subst:sg:gen:n,space,disamb
skarbowego,skarbowy,adj:sg:gen:n:pos,space,disamb
lub,lub,conj,space,disamb
wykroczenia,wykroczenie,subst:sg:gen:n,space,disamb
skarbowego,skarbowy,adj:sg:gen:n:pos,space,disamb
sprawca,sprawca,subst:sg:nom:m1,space,disamb
czynu,czyn,subst:sg:gen:m3,none,new
zabronionego,zabronić,ppas:sg:gen:m3:perf:aff,space,disamb
",",",",interp,none,disamb
jeżeli,jeżeli,comp,space,disamb
nie,nie,qub,space,disamb
można,można,pred,space,disamb
mu,on,ppron3:sg:dat:m1:ter:nakc:npraep,space,disamb
przypisać,przypisać,inf:perf,space,disamb
winy,wina,subst:sg:gen:f,space,disamb
w,w,prep:loc:nwok,space,disamb
czasie,czas,subst:sg:loc:m3,space,disamb
czynu,czyn,subst:sg:gen:m3,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
4,4,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Jeżeli,jeżeli,comp,newline,new
do,do,prep:gen,space,disamb
dokonania,dokonać,ger:sg:gen:n:perf:aff,space,disamb
przestępstwa,przestępstwo,subst:sg:gen:n,space,disamb
skarbowego,skarbowy,adj:sg:gen:n:pos,space,disamb
lub,lub,conj,space,disamb
wykroczenia,wykroczenie,subst:sg:gen:n,space,disamb
skarbowego,skarbowy,adj:sg:gen:n:pos,space,disamb
wymagane,wymagać,ppas:sg:nom:n:imperf:aff,none,new
jest,być,fin:sg:ter:imperf,space,disamb
nastąpienie,nastąpić,ger:sg:nom:n:perf:aff,space,disamb
określonego,określić,ppas:sg:gen:m3:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
kodeksie,kodeks,subst:sg:loc:m3,space,disamb
skutku,skutek,subst:sg:gen:m3,space,disamb
",",",",interp,none,disamb
sprawca,sprawca,subst:sg:nom:m1,space,disamb
zaniechania,zaniechanie,subst:sg:gen:n,none,new
podlega,podlegać,fin:sg:ter:imperf,space,disamb
odpowiedzialności,odpowiedzialność,subst:sg:dat:f,space,disamb
karnej,karny,adj:sg:dat:f:pos,space,disamb
za,za,prep:acc,space,disamb
przestępstwo,przestępstwo,subst:sg:acc:n,space,disamb
skarbowe,skarbowy,adj:sg:acc:n:pos,space,disamb
lub,lub,conj,space,disamb
odpowiedzialności,odpowiedzialność,subst:pl:nom:f,none,new
za,za,prep:acc,space,disamb
wykroczenie,wykroczyć,ger:sg:acc:n:perf:aff,space,disamb
skarbowe,skarbowy,adj:sg:acc:n:pos,space,disamb
tylko,tylko,qub,space,disamb
wtedy,wtedy,adv,space,disamb
",",",",interp,none,disamb
jeżeli,jeżeli,comp,space,disamb
ciążył,ciążyć,praet:sg:m1:imperf,space,disamb
na,na,prep:acc,space,disamb
nim,on,ppron3:sg:inst:n:ter:akc:npraep,none,new
prawny,prawny,adj:sg:nom:m3:pos,space,disamb
",",",",interp,none,disamb
szczególny,szczególny,adj:sg:nom:m3:pos,space,disamb
obowiązek,obowiązek,subst:sg:nom:m3,space,disamb
zapobiegnięcia,zapobiec,ger:sg:gen:n:perf:aff,space,disamb
skutkowi,skutek,subst:sg:dat:m3,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Czyn,czyn,subst:sg:nom:m3,newline,new
zabroniony,zabronić,ppas:sg:nom:m3:perf:aff,space,disamb
uważa,uważać,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
za,za,prep:acc,space,disamb
popełniony,popełnić,ppas:sg:acc:m3:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
czasie,czas,subst:sg:loc:m3,space,disamb
",",",",interp,none,disamb
w,w,prep:loc:nwok,space,disamb
którym,który,adj:sg:loc:m3:pos,space,disamb
nastąpiło,nastąpić,praet:sg:n:perf,space,disamb
zachowanie,zachowanie,subst:sg:nom:n,none,new
sprawcy,sprawca,subst:sg:gen:m1,space,disamb
",",",",interp,none,disamb
chyba,chyba,qub,space,disamb
że,że,comp,space,disamb
kodeks,kodeks,subst:sg:nom:m3,space,disamb
stanowi,stanowić,fin:sg:ter:imperf,space,disamb
inaczej,inaczej,adv,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Jeżeli,jeżeli,comp,newline,new
w,w,prep:loc:nwok,space,disamb
czasie,czas,subst:sg:loc:m3,space,disamb
orzekania,orzekać,ger:sg:gen:n:imperf:aff,space,disamb
obowiązuje,obowiązywać,fin:sg:ter:imperf,space,disamb
ustawa,ustawa,subst:sg:nom:f,space,disamb
inna,inny,adj:sg:nom:f:pos,space,disamb
niż,niż,conj,space,disamb
w,w,prep:loc:nwok,space,disamb
czasie,czas,subst:sg:loc:m3,space,disamb
popełnienia,popełnić,ger:sg:gen:n:perf:aff,space,disamb
przestępstwa,przestępstwo,subst:sg:gen:n,none,new
skarbowego,skarbowy,adj:sg:gen:n:pos,space,disamb
lub,lub,conj,space,disamb
wykroczenia,wykroczenie,subst:sg:gen:n,space,disamb
skarbowego,skarbowy,adj:sg:gen:n:pos,space,disamb
",",",",interp,none,disamb
stosuje,stosować,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
ustawę,ustawa,subst:sg:acc:f,space,disamb
nową,nowy,adj:sg:acc:f:pos,none,new
",",",",interp,none,disamb
jednakże,jednakże,conj,space,disamb
należy,należeć,fin:sg:ter:imperf,space,disamb
stosować,stosować,inf:imperf,space,disamb
ustawę,ustawa,subst:sg:acc:f,space,disamb
obowiązującą,obowiązywać,pact:sg:acc:f:imperf:aff,space,disamb
poprzednio,poprzednio,adv:pos,space,disamb
",",",",interp,none,disamb
jeżeli,jeżeli,comp,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
względniejsza,względny,adj:sg:nom:f:com,none,new
dla,dla,prep:gen,space,disamb
sprawcy,sprawca,subst:sg:gen:m1,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Niedopuszczalne,niedopuszczalny,adj:sg:nom:n:pos,newline,new
jest,być,fin:sg:ter:imperf,space,disamb
stosowanie,stosować,ger:sg:nom:n:imperf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
części,część,subst:sg:loc:f,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
nowej,nowy,adj:sg:gen:f:pos,space,disamb
i,i,conj,space,disamb
w,w,prep:loc:nwok,space,disamb
części,część,subst:sg:loc:f,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
obowiązującej,obowiązywać,pact:sg:gen:f:imperf:aff,none,new
poprzednio,poprzednio,adv:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
4,4,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Jeżeli,jeżeli,comp,newline,new
według,według,prep:gen,space,disamb
nowej,nowy,adj:sg:gen:f:pos,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
czyn,czyn,subst:sg:nom:m3,space,disamb
zabroniony,zabronić,ppas:sg:nom:m3:perf:aff,space,disamb
objęty,objąć,ppas:sg:nom:m3:perf:aff,space,disamb
