word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
2004,2004,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
92,92,num:pl:nom:m3:congr,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
880,880,num:pl:nom:m3:rec,space,disamb
U,u,prep:gen,none,new
S,Solidarność,brev:npun,space,disamb
T,tesla,brev:npun,space,disamb
A,a,conj,space,disamb
W,w,prep:loc:nwok,space,disamb
A,A,subst:sg:loc:n,space,disamb
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
16,16,adj:sg:gen:m3:pos,space,disamb
kwietnia,kwiecień,subst:sg:gen:m3,space,disamb
2004,2004,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,none,new
ochronie,ochrona,subst:sg:loc:f,space,disamb
przyrody,przyroda,subst:sg:gen:f,space,disamb
Rozdział,rozdział,subst:sg:nom:m3,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
Przepisy,przepis,subst:pl:nom:m3,none,new
ogólne,ogólny,adj:pl:nom:m3:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Ustawa,ustawa,subst:sg:nom:f,none,new
określa,określać,fin:sg:ter:imperf,space,disamb
cele,cel,subst:pl:acc:m3,space,disamb
",",",",interp,none,disamb
zasady,zasada,subst:pl:acc:f,space,disamb
i,i,conj,space,disamb
formy,forma,subst:pl:acc:f,space,disamb
ochrony,ochrona,subst:sg:gen:f,space,disamb
przyrody,przyroda,subst:sg:gen:f,space,disamb
żywej,żywy,adj:sg:gen:f:pos,space,disamb
i,i,conj,space,disamb
nieożywionej,nieożywiony,adj:sg:gen:f:pos,space,disamb
oraz,oraz,conj,space,disamb
krajobrazu,krajobraz,subst:sg:gen:m3,none,new
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Ochrona,ochrona,subst:sg:nom:f,newline,new
przyrody,przyroda,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
w,w,prep:loc:nwok,space,disamb
rozumieniu,rozumienie,subst:sg:loc:n,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
polega,polegać,fin:sg:ter:imperf,space,disamb
na,na,prep:loc,space,disamb
zachowaniu,zachowanie,subst:sg:loc:n,space,disamb
",",",",interp,none,disamb
zrównoważonym,zrównoważony,adj:sg:loc:n:pos,space,disamb
użytkowaniu,użytkować,ger:sg:loc:n:imperf:aff,none,new
oraz,oraz,conj,space,disamb
odnawianiu,odnawiać,ger:sg:loc:n:imperf:aff,space,disamb
zasobów,zasób,subst:pl:gen:m3,space,disamb
",",",",interp,none,disamb
tworów,twór,subst:pl:gen:m3,space,disamb
i,i,conj,space,disamb
składników,składnik,subst:pl:gen:m3,space,disamb
przyrody,przyroda,subst:sg:gen:f,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
dziko,dziko,adv:pos,space,disamb
występujących,występować,pact:pl:gen:f:imperf:aff,space,disamb
roślin,roślina,subst:pl:gen:f,space,disamb
",",",",interp,none,disamb
zwierząt,zwierzę,subst:pl:gen:n,space,disamb
i,i,conj,space,disamb
grzybów,grzyb,subst:pl:gen:m3,space,disamb
;,;,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
roślin,roślina,subst:pl:gen:f,none,disamb
",",",",interp,none,disamb
zwierząt,zwierzę,subst:pl:gen:n,space,disamb
i,i,conj,space,disamb
grzybów,grzyb,subst:pl:gen:m3,space,disamb
objętych,objąć,ppas:pl:gen:m3:perf:aff,space,disamb
ochroną,ochrona,subst:sg:inst:f,space,disamb
gatunkową,gatunkowy,adj:sg:inst:f:pos,space,disamb
;,;,interp,none,disamb
3,3,num:pl:nom:n:rec,none,new
),),interp,none,disamb
zwierząt,zwierzę,subst:pl:gen:n,none,disamb
prowadzących,prowadzić,pact:pl:gen:n:imperf:aff,space,disamb
wędrowny,wędrowny,adj:sg:acc:m3:pos,space,disamb
tryb,tryb,subst:sg:acc:m3,space,disamb
życia,życie,subst:sg:gen:n,space,disamb
;,;,interp,none,disamb
4,4,num:pl:nom:n:rec,none,new
),),interp,none,disamb
siedlisk,siedlisko,subst:pl:gen:n,none,disamb
przyrodniczych,przyrodniczy,adj:pl:gen:n:pos,space,disamb
;,;,interp,none,disamb
5,5,num:pl:nom:n:rec,none,new
),),interp,none,disamb
siedlisk,Siedlisko,subst:pl:gen:n,space,disamb
zagrożonych,zagrozić,ppas:pl:gen:n:perf:aff,space,disamb
wyginięciem,wyginięcie,subst:sg:inst:n,space,disamb
",",",",interp,none,disamb
rzadkich,rzadki,adj:pl:gen:m3:pos,space,disamb
i,i,conj,space,disamb
chronionych,chronić,ppas:pl:gen:m3:imperf:aff,space,disamb
gatunków,gatunek,subst:pl:gen:m3,space,disamb
roślin,roślina,subst:pl:gen:f,space,disamb
",",",",interp,none,disamb
zwierząt,zwierzę,subst:pl:gen:n,none,new
i,i,conj,space,disamb
grzybów,grzyb,subst:pl:gen:m3,space,disamb
;,;,interp,none,disamb
6,6,num:pl:nom:m3:rec,none,new
),),interp,none,disamb
tworów,twór,subst:pl:gen:m3,space,disamb
przyrody,przyroda,subst:sg:gen:f,space,disamb
żywej,żywy,adj:sg:gen:f:pos,space,disamb
i,i,conj,space,disamb
nieożywionej,nieożywiony,adj:sg:gen:f:pos,space,disamb
oraz,oraz,conj,space,disamb
kopalnych,kopalny,adj:pl:gen:m3:pos,space,disamb
szczątków,szczątek,subst:pl:gen:m3,space,disamb
roślin,roślina,subst:pl:gen:f,space,disamb
i,i,conj,space,disamb
zwierząt,zwierzę,subst:pl:gen:n,none,new
;,;,interp,none,disamb
7,7,adj:sg:nom:m3:pos,none,new
),),interp,none,disamb
krajobrazu,krajobraz,subst:sg:gen:m3,none,disamb
;,;,interp,none,disamb
8,8,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zieleni,zieleń,subst:sg:gen:f,none,disamb
w,w,prep:loc:nwok,space,disamb
miastach,miasto,subst:pl:loc:n,space,disamb
i,i,conj,space,disamb
wsiach,wieś,subst:pl:loc:f,space,disamb
;,;,interp,none,disamb
9,9,num:pl:nom:n:rec,none,new
),),interp,none,disamb
zadrzewień,zadrzewień,subst:pl:gen:n,none,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Celem,cel,subst:sg:inst:m3,newline,new
ochrony,ochrona,subst:sg:gen:f,space,disamb
przyrody,przyroda,subst:sg:gen:f,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
utrzymanie,utrzymać,ger:sg:nom:n:perf:aff,space,disamb
procesów,proces,subst:pl:gen:m3,space,disamb
ekologicznych,ekologiczny,adj:pl:gen:m3:pos,space,disamb
i,i,conj,space,disamb
stabilności,stabilność,subst:sg:gen:f,space,disamb
ekosystemów,ekosystem,subst:pl:gen:m3,space,disamb
;,;,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zachowanie,zachowanie,subst:sg:nom:n,none,disamb
różnorodności,różnorodność,subst:sg:gen:f,space,disamb
biologicznej,biologiczny,adj:sg:gen:f:pos,space,disamb
;,;,interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zachowanie,zachowanie,subst:sg:nom:n,space,disamb
dziedzictwa,dziedzictwo,subst:sg:gen:n,space,disamb
geologicznego,geologiczny,adj:sg:gen:n:pos,space,disamb
i,i,conj,space,disamb
paleontologicznego,paleontologiczny,adj:sg:gen:n:pos,space,disamb
;,;,interp,none,disamb
4,4,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zapewnienie,zapewnić,ger:sg:acc:n:perf:aff,none,disamb
ciągłości,ciągłość,subst:sg:gen:f,space,disamb
istnienia,istnieć,ger:sg:gen:n:imperf:aff,space,disamb
gatunków,gatunek,subst:pl:gen:m3,space,disamb
roślin,roślina,subst:pl:gen:f,space,disamb
",",",",interp,none,disamb
zwierząt,zwierzę,subst:pl:gen:n,space,disamb
i,i,conj,space,disamb
grzybów,grzyb,subst:pl:gen:m3,space,disamb
",",",",interp,none,disamb
wraz,wraz,adv,none,new
z,z,prep:inst:nwok,space,disamb
ich,on,ppron3:pl:gen:m1:ter:akc:npraep,space,disamb
siedliskami,siedlisko,subst:pl:inst:n,space,disamb
",",",",interp,none,disamb
przez,przez,prep:acc:nwok,space,disamb
ich,on,ppron3:pl:gen:n:ter:akc:npraep,space,disamb
utrzymywanie,utrzymywać,ger:sg:acc:n:imperf:aff,space,disamb
lub,lub,conj,space,disamb
przywracanie,przywracać,ger:sg:acc:n:imperf:aff,space,disamb
do,do,prep:gen,space,disamb
właściwego,właściwy,adj:sg:gen:m3:pos,none,new
stanu,stan,subst:sg:gen:m3,space,disamb
ochrony,ochrona,subst:sg:gen:f,space,disamb
;,;,interp,none,disamb
5,5,num:pl:nom:m3:rec,none,new
),),interp,none,disamb
ochrona,ochrona,subst:sg:nom:f,space,disamb
walorów,walor,subst:pl:gen:m3,space,disamb
krajobrazowych,krajobrazowy,adj:pl:gen:m3:pos,space,disamb
",",",",interp,none,disamb
zieleni,zieleń,subst:sg:gen:f,space,disamb
w,w,prep:loc:nwok,space,disamb
miastach,miasto,subst:pl:loc:n,space,disamb
i,i,conj,space,disamb
wsiach,wieś,subst:pl:loc:f,space,disamb
oraz,oraz,conj,space,disamb
zadrzewień,zadrzewień,subst:pl:gen:n,none,new
;,;,interp,none,disamb
6,6,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
utrzymywanie,utrzymywać,ger:sg:nom:n:imperf:aff,space,disamb
lub,lub,conj,space,disamb
przywracanie,przywracać,ger:sg:nom:n:imperf:aff,space,disamb
do,do,prep:gen,space,disamb
właściwego,właściwy,adj:sg:gen:m3:pos,space,disamb
stanu,stan,subst:sg:gen:m3,space,disamb
ochrony,ochrona,subst:sg:gen:f,space,disamb
siedlisk,Siedlisko,subst:pl:gen:n,space,disamb
przyrodniczych,przyrodniczy,adj:pl:gen:m3:pos,none,new
",",",",interp,none,disamb
a,a,conj,space,disamb
także,także,conj,space,disamb
pozostałych,pozostały,adj:pl:gen:m3:pos,space,disamb
zasobów,zasób,subst:pl:gen:m3,space,disamb
",",",",interp,none,disamb
tworów,twór,subst:pl:gen:m3,space,disamb
i,i,conj,space,disamb
składników,składnik,subst:pl:gen:m3,space,disamb
przyrody,przyroda,subst:sg:gen:f,space,disamb
;,;,interp,none,disamb
7,7,adj:sg:nom:m3:pos,none,new
),),interp,none,disamb
kształtowanie,kształtować,ger:sg:nom:n:imperf:aff,space,disamb
właściwych,właściwy,adj:pl:gen:f:pos,space,disamb
postaw,postawa,subst:pl:gen:f,space,disamb
człowieka,człowiek,subst:sg:gen:m1,space,disamb
wobec,wobec,prep:gen,space,disamb
przyrody,przyroda,subst:sg:gen:f,space,disamb
przez,przez,prep:acc:nwok,space,disamb
edukację,edukacja,subst:sg:acc:f,space,disamb
",",",",interp,none,disamb
informowanie,informować,ger:sg:nom:n:imperf:aff,none,new
i,i,conj,space,disamb
promocję,promocja,subst:sg:acc:f,space,disamb
w,w,prep:loc:nwok,space,disamb
dziedzinie,dziedzina,subst:sg:loc:f,space,disamb
ochrony,ochrona,subst:sg:gen:f,space,disamb
przyrody,przyroda,subst:sg:gen:f,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
