word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
81,81,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
877,877,num:pl:nom:m3:rec,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
6,6,adj:sg:gen:m3:pos,space,disamb
lipca,lipiec,subst:sg:gen:m3,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,none,new
zmianie,zmiana,subst:sg:loc:f,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:loc,space,disamb
powszechnym,powszechny,adj:sg:loc:m3:pos,space,disamb
obowiązku,obowiązek,subst:sg:loc:m3,space,disamb
obrony,obrona,subst:sg:gen:f,space,disamb
Rzeczypospolitej,Rzeczpospolita,subst:sg:gen:f,space,disamb
Polskiej,polski,adj:sg:gen:f:pos,space,disamb
",",",",interp,none,disamb
ustawy,ustawa,subst:sg:gen:f,none,new
o,o,prep:loc,space,disamb
odszkodowaniach,odszkodowanie,subst:pl:loc:n,space,disamb
przysługujących,przysługiwać,pact:pl:loc:n:imperf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
razie,raz,subst:sg:loc:m3,space,disamb
wypadków,wypadek,subst:pl:gen:m3,space,disamb
i,i,conj,space,disamb
chorób,choroba,subst:pl:gen:f,space,disamb
pozostających,pozostawać,pact:pl:gen:n:imperf:aff,none,new
w,w,prep:loc:nwok,space,disamb
związku,związek,subst:sg:loc:m3,space,disamb
ze,z,prep:inst:wok,space,disamb
służbą,służba,subst:sg:inst:f,space,disamb
w,w,prep:loc:nwok,space,disamb
Milicji,milicja,subst:sg:loc:f,space,disamb
Obywatelskiej,obywatelski,adj:sg:loc:f:pos,space,disamb
",",",",interp,none,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:acc,space,disamb
zaopatrzeniu,zaopatrzenie,subst:sg:dat:n,none,new
inwalidów,inwalida,subst:pl:gen:m1,space,disamb
wojennych,wojenny,adj:pl:gen:m1:pos,space,disamb
i,i,conj,space,disamb
wojskowych,wojskowy,subst:pl:gen:m1,space,disamb
oraz,oraz,conj,space,disamb
ich,on,ppron3:pl:gen:m1:ter:akc:npraep,space,disamb
rodzin,rodzina,subst:pl:gen:f,space,disamb
",",",",interp,none,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:acc,space,disamb
uposażeniu,uposażenie,subst:sg:dat:n,none,new
żołnierzy,żołnierz,subst:pl:gen:m1,space,disamb
",",",",interp,none,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:loc,space,disamb
Policji,policja,subst:sg:loc:f,space,disamb
",",",",interp,none,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:loc,space,disamb
Urzędzie,urząd,subst:sg:loc:m3,space,disamb
Ochrony,ochrona,subst:sg:gen:f,space,disamb
Państwa,państwo,subst:sg:gen:n,space,disamb
",",",",interp,none,disamb
ustawy,ustawa,subst:sg:gen:f,none,new
o,o,prep:loc,space,disamb
Państwowej,państwowy,adj:sg:loc:f:pos,space,disamb
Straży,straż,subst:sg:loc:f,space,disamb
Pożarnej,pożarny,adj:sg:loc:f:pos,space,disamb
",",",",interp,none,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:loc,space,disamb
kontroli,kontrola,subst:sg:loc:f,space,disamb
skarbowej,skarbowy,adj:sg:loc:f:pos,space,disamb
",",",",interp,none,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:acc,space,disamb
zaopatrzeniu,zaopatrzenie,subst:sg:dat:n,none,new
emerytalnym,emerytalny,adj:sg:inst:n:pos,space,disamb
żołnierzy,żołnierz,subst:pl:gen:m1,space,disamb
zawodowych,zawodowy,adj:pl:gen:m1:pos,space,disamb
oraz,oraz,conj,space,disamb
ich,on,ppron3:pl:gen:m1:ter:akc:npraep,space,disamb
rodzin,rodzina,subst:pl:gen:f,space,disamb
",",",",interp,none,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:acc,space,disamb
zaopatrzeniu,zaopatrzenie,subst:sg:dat:n,none,new
emerytalnym,emerytalny,adj:sg:loc:n:pos,space,disamb
funkcjonariuszy,funkcjonariusz,subst:pl:gen:m1,space,disamb
Policji,policja,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
Urzędu,urząd,subst:sg:gen:m3,space,disamb
Ochrony,ochrona,subst:sg:gen:f,space,disamb
Państwa,państwo,subst:sg:gen:n,space,disamb
",",",",interp,none,disamb
Straży,straż,subst:sg:gen:f,none,new
Granicznej,graniczny,adj:sg:gen:f:pos,space,disamb
",",",",interp,none,disamb
Biura,biuro,subst:pl:nom:n,space,disamb
Ochrony,ochrona,subst:sg:gen:f,space,disamb
Rządu,rząd,subst:sg:gen:m3,space,disamb
",",",",interp,none,disamb
Państwowej,państwowy,adj:sg:gen:f:pos,space,disamb
Straży,straż,subst:sg:gen:f,space,disamb
Pożarnej,pożarny,adj:sg:gen:f:pos,space,disamb
i,i,conj,space,disamb
Służby,służba,subst:sg:gen:f,none,new
Więziennej,więzienny,adj:sg:gen:f:pos,space,disamb
oraz,oraz,conj,space,disamb
ich,on,ppron3:pl:gen:f:ter:akc:npraep,space,disamb
rodzin,rodzina,subst:pl:gen:f,space,disamb
",",",",interp,none,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:loc,space,disamb
zakwaterowaniu,zakwaterować,ger:sg:loc:n:perf:aff,space,disamb
Sił,siła,subst:pl:gen:f,space,disamb
Zbrojnych,zbrojny,adj:pl:gen:f:pos,space,disamb
Rzeczypospolitej,Rzeczpospolita,subst:sg:gen:f,none,new
Polskiej,polski,adj:sg:gen:f:pos,space,disamb
",",",",interp,none,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:loc,space,disamb
Służbie,służba,subst:sg:loc:f,space,disamb
Więziennej,więzienny,adj:sg:loc:f:pos,space,disamb
oraz,oraz,conj,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
o,o,prep:acc,space,disamb
Inspekcji,inspekcja,subst:sg:gen:f,none,new
Celnej,celny,adj:sg:gen:f:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
W,w,prep:loc:nwok,none,new
ustawie,ustawa,subst:sg:loc:f,space,disamb
z,z,prep:gen:nwok,space,disamb
dnia,dzień,subst:sg:gen:m3,space,disamb
21,21,adj:sg:gen:m3:pos,space,disamb
listopada,listopad,subst:sg:gen:m3,space,disamb
1967,1967,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,space,disamb
powszechnym,powszechny,adj:sg:loc:m3:pos,space,disamb
obowiązku,obowiązek,subst:sg:loc:m3,space,disamb
obrony,obrona,subst:sg:gen:f,space,disamb
Rzeczypospolitej,Rzeczpospolita,subst:sg:dat:f,none,new
Polskiej,polski,adj:sg:gen:f:pos,space,disamb
(,(,interp,space,disamb
Dz,dziennik,brev:pun,none,disamb
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1992,1992,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
4,4,num:pl:nom:m3:congr,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
16,16,adj:sg:nom:f:pos,space,disamb
",",",",interp,none,disamb
Nr,numer,brev:npun,space,disamb
54,54,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
254,254,num:pl:nom:f:congr,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1994,1994,adj:sg:gen:m3:pos,none,new
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
43,43,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
165,165,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1995,1995,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
141,141,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
692,692,num:pl:nom:m3:congr,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1996,1996,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
7,7,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
44,44,adj:sg:nom:f:pos,space,disamb
",",",",interp,none,disamb
Nr,numer,brev:npun,none,new
10,10,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
56,56,adj:sg:nom:f:pos,space,disamb
",",",",interp,none,disamb
Nr,numer,brev:npun,space,disamb
106,106,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
496,496,num:pl:nom:f:rec,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
6,6,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
31,31,adj:sg:nom:f:pos,space,disamb
",",",",interp,none,disamb
Nr,numer,brev:npun,space,disamb
28,28,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
153,153,adj:sg:nom:f:pos,space,disamb
",",",",interp,none,disamb
Nr,numer,brev:npun,space,disamb
80,80,num:pl:nom:m3:rec,none,new
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
495,495,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
Nr,numer,brev:npun,space,disamb
88,88,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
554,554,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
Nr,numer,brev:npun,space,disamb
121,121,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
770,770,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
Nr,numer,brev:npun,space,disamb
141,141,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
944,944,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1998,1998,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
146,146,num:pl:nom:m3:rec,none,new
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
961,961,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
Nr,numer,brev:npun,space,disamb
