word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
62,62,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
628,628,num:pl:nom:m3:rec,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
27,27,adj:sg:gen:m3:pos,space,disamb
kwietnia,kwiecień,subst:sg:gen:m3,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,none,new
odpadach,odpady,subst:pl:loc:n,space,disamb
Rozdział,rozdział,subst:sg:nom:m3,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
Przepisy,przepis,subst:pl:nom:m3,none,new
ogólne,ogólny,adj:pl:nom:m3:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Ustawa,ustawa,subst:sg:nom:f,newline,new
określa,określać,fin:sg:ter:imperf,space,disamb
zasady,zasada,subst:pl:acc:f,space,disamb
postępowania,postępować,ger:sg:gen:n:imperf:aff,space,disamb
z,z,prep:inst:nwok,space,disamb
odpadami,odpad,subst:pl:inst:m3,space,disamb
w,w,prep:acc:nwok,space,disamb
sposób,sposób,subst:sg:acc:m3,space,disamb
zapewniający,zapewniać,pact:sg:acc:m3:imperf:aff,space,disamb
ochronę,ochrona,subst:sg:acc:f,space,disamb
życia,życie,subst:pl:nom:n,none,new
i,i,conj,space,disamb
zdrowia,zdrowie,subst:sg:gen:n,space,disamb
ludzi,człowiek,subst:pl:gen:m1,space,disamb
oraz,oraz,conj,space,disamb
ochronę,ochrona,subst:sg:acc:f,space,disamb
środowiska,środowisko,subst:sg:gen:n,space,disamb
zgodnie,zgodnie,adv:pos,space,disamb
z,z,prep:inst:nwok,space,disamb
zasadą,zasada,subst:sg:inst:f,space,disamb
zrównoważonego,zrównoważony,adj:sg:gen:n:pos,space,disamb
rozwoju,rozwój,subst:sg:gen:m3,none,new
",",",",interp,none,disamb
a,a,conj,space,disamb
w,w,prep:loc:nwok,space,disamb
szczególności,szczególność,subst:sg:loc:f,space,disamb
zasady,zasada,subst:sg:gen:f,space,disamb
zapobiegania,zapobiegać,ger:sg:gen:n:imperf:aff,space,disamb
powstawaniu,powstawać,ger:sg:dat:n:imperf:aff,space,disamb
odpadów,odpad,subst:pl:gen:m3,space,disamb
lub,lub,conj,space,disamb
ograniczania,ograniczać,ger:sg:gen:n:imperf:aff,none,new
ilości,ilość,subst:sg:gen:f,space,disamb
odpadów,odpad,subst:pl:gen:m3,space,disamb
i,i,conj,space,disamb
ich,on,ppron3:pl:gen:m3:ter:akc:npraep,space,disamb
negatywnego,negatywny,adj:sg:gen:n:pos,space,disamb
oddziaływania,oddziaływanie,subst:sg:gen:n,space,disamb
na,na,prep:acc,space,disamb
środowisko,środowisko,subst:sg:acc:n,space,disamb
",",",",interp,none,disamb
a,a,conj,space,disamb
także,także,qub,none,new
odzysku,odzysk,subst:sg:gen:m3,space,disamb
lub,lub,conj,space,disamb
unieszkodliwiania,unieszkodliwiać,ger:sg:gen:n:imperf:aff,space,disamb
odpadów,odpad,subst:pl:gen:m3,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Przepisy,przepis,subst:pl:nom:m3,newline,new
ustawy,ustawa,subst:sg:gen:f,space,disamb
nie,nie,qub,space,disamb
naruszają,naruszać,fin:pl:ter:imperf,space,disamb
postanowień,postanowienie,subst:pl:gen:n,space,disamb
działu,dział,subst:sg:gen:m3,space,disamb
II,II,adj:sg:gen:m3:pos,space,disamb
w,w,prep:loc:nwok,space,disamb
tytule,tytuł,subst:sg:loc:m3,space,disamb
I,I,adj:sg:gen:f:pos,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
z,z,prep:gen:nwok,space,disamb
dnia,dzień,subst:sg:gen:m3,space,disamb
27,27,adj:sg:gen:m3:pos,none,new
kwietnia,kwiecień,subst:sg:gen:m3,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
-,-,interp,newline,new
Prawo,prawo,subst:sg:nom:n,none,disamb
ochrony,ochrona,subst:sg:gen:f,space,disamb
środowiska,środowisko,subst:sg:gen:n,space,disamb
(,(,interp,space,disamb
Dz,dziennik,brev:pun,none,disamb
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,space,disamb
.,.,interp,space,disamb
.,.,interp,none,disamb
.,.,interp,none,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
.,.,interp,space,disamb
.,.,interp,none,disamb
.,.,interp,none,disamb
),),interp,none,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Przepisy,przepis,subst:pl:acc:m3,newline,new
ustawy,ustawa,subst:sg:gen:f,space,disamb
stosuje,stosować,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
także,także,qub,space,disamb
do,do,prep:gen,space,disamb
postępowania,postępować,ger:sg:gen:n:imperf:aff,space,disamb
z,z,prep:inst:nwok,space,disamb
masami,masa,subst:pl:inst:f,space,disamb
ziemnymi,ziemny,adj:pl:inst:f:pos,space,disamb
lub,lub,conj,space,disamb
skalnymi,skalny,adj:pl:inst:m3:pos,none,new
",",",",interp,none,disamb
jeżeli,jeżeli,comp,space,disamb
są,być,fin:pl:ter:imperf,space,disamb
usuwane,usuwać,ppas:pl:nom:m3:imperf:aff,space,disamb
albo,albo,conj,space,disamb
przemieszczane,przemieszczać,ppas:pl:nom:f:imperf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
związku,związek,subst:sg:loc:m3,space,disamb
z,z,prep:inst:nwok,space,disamb
realizacją,realizacja,subst:sg:inst:f,space,disamb
inwestycji,inwestycja,subst:sg:gen:f,none,new
lub,lub,conj,space,disamb
prowadzeniem,prowadzić,ger:sg:inst:n:imperf:aff,space,disamb
eksploatacji,eksploatacja,subst:sg:gen:f,space,disamb
kopalin,kopalina,subst:pl:gen:f,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Przepisów,przepis,subst:pl:gen:m3,newline,new
ustawy,ustawa,subst:sg:gen:f,space,disamb
nie,nie,qub,space,disamb
stosuje,stosować,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
do,do,prep:gen,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
mas,masa,subst:pl:gen:f,space,disamb
ziemnych,ziemny,adj:pl:gen:f:pos,space,disamb
lub,lub,conj,space,disamb
skalnych,skalny,adj:pl:gen:f:pos,space,disamb
usuwanych,usuwać,ppas:pl:gen:f:imperf:aff,space,disamb
albo,albo,conj,space,disamb
przemieszczanych,przemieszczać,ppas:pl:gen:f:imperf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
związku,związek,subst:sg:loc:m3,space,disamb
z,z,prep:inst:nwok,space,disamb
realizacją,realizacja,subst:sg:inst:f,none,new
inwestycji,inwestycja,subst:sg:gen:f,space,disamb
lub,lub,conj,space,disamb
prowadzeniem,prowadzić,ger:sg:inst:n:imperf:aff,space,disamb
eksploatacji,eksploatacja,subst:sg:gen:f,space,disamb
kopalin,kopalina,subst:pl:gen:f,space,disamb
wraz,wraz,adv,space,disamb
z,z,prep:inst:nwok,space,disamb
ich,on,ppron3:pl:gen:f:ter:akc:npraep,space,disamb
przerabianiem,przerabiać,ger:sg:inst:n:imperf:aff,none,new
",",",",interp,none,disamb
jeżeli,jeżeli,comp,space,disamb
miejscowy,miejscowy,adj:sg:nom:m3:pos,space,disamb
plan,plan,subst:sg:nom:m3,space,disamb
zagospodarowania,zagospodarować,ger:sg:gen:n:perf:aff,space,disamb
przestrzennego,przestrzenny,adj:sg:gen:n:pos,space,disamb
",",",",interp,none,disamb
decyzja,decyzja,subst:sg:nom:f,none,new
o,o,prep:loc,space,disamb
warunkach,warunki,subst:pl:loc:n,space,disamb
zabudowy,zabudowa,subst:sg:gen:f,space,disamb
i,i,conj,space,disamb
zagospodarowania,zagospodarować,ger:sg:gen:n:perf:aff,space,disamb
terenu,teren,subst:sg:gen:m3,space,disamb
lub,lub,conj,space,disamb
o,o,prep:loc,space,disamb
pozwoleniu,pozwolić,ger:sg:loc:n:perf:aff,space,disamb
na,na,prep:acc,space,disamb
budowę,budowa,subst:sg:acc:f,none,new
określają,określać,fin:pl:ter:imperf,space,disamb
warunki,warunki,subst:pl:nom:n,space,disamb
i,i,conj,space,disamb
sposób,sposób,subst:sg:nom:m3,space,disamb
ich,on,ppron3:pl:gen:n:ter:akc:npraep,space,disamb
zagospodarowania,zagospodarować,ger:sg:gen:n:perf:aff,space,disamb
",",",",interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
mas,masa,subst:pl:gen:f,space,disamb
ziemnych,ziemny,adj:pl:gen:f:pos,space,disamb
pochodzących,pochodzić,pact:pl:gen:f:imperf:aff,space,disamb
z,z,prep:gen:nwok,space,disamb
pogłębiania,pogłębiać,ger:sg:gen:n:imperf:aff,space,disamb
akwenów,akwen,subst:pl:gen:m3,space,disamb
morskich,morski,adj:pl:gen:m3:pos,space,disamb
w,w,prep:loc:nwok,space,disamb
związku,związek,subst:sg:loc:m3,space,disamb
z,z,prep:inst:nwok,space,disamb
utrzymaniem,utrzymać,ger:sg:inst:n:perf:aff,none,new
infrastruktury,infrastruktura,subst:sg:gen:f,space,disamb
zapewniającej,zapewniać,pact:sg:gen:f:imperf:aff,space,disamb
dostęp,dostęp,subst:sg:acc:m3,space,disamb
do,do,prep:gen,space,disamb
portów,port,subst:pl:gen:m3,space,disamb
",",",",interp,none,disamb
a,a,conj,space,disamb
także,także,conj,space,disamb
z,z,prep:gen:nwok,space,disamb
pogłębiania,pogłębiać,ger:sg:gen:n:imperf:aff,none,new
zbiorników,zbiornik,subst:pl:gen:m3,space,disamb
wodnych,wodny,adj:pl:gen:m3:pos,space,disamb
",",",",interp,none,disamb
stawów,staw,subst:pl:gen:m3,space,disamb
",",",",interp,none,disamb
cieków,ciek,subst:pl:gen:m3,space,disamb
naturalnych,naturalny,adj:pl:gen:m3:pos,space,disamb
",",",",interp,none,disamb
kanałów,kanał,subst:pl:gen:m3,space,disamb
i,i,conj,space,disamb
rowów,rów,subst:pl:gen:m3,none,new
w,w,prep:loc:nwok,space,disamb
związku,związek,subst:sg:loc:m3,space,disamb
z,z,prep:inst:nwok,space,disamb
utrzymaniem,utrzymanie,subst:sg:inst:n,space,disamb
i,i,conj,space,disamb
regulacją,regulacja,subst:sg:inst:f,space,disamb
wód,woda,subst:pl:gen:f,space,disamb
",",",",interp,none,disamb
stanowiących,stanowić,pact:pl:gen:f:imperf:aff,space,disamb
niezanieczyszczony,niezanieczyszczony,adj:sg:nom:m3:pos,none,new
urobek,urobek,subst:sg:nom:m3,space,disamb
",",",",interp,none,disamb
jeżeli,jeżeli,comp,space,disamb
miejscowy,miejscowy,adj:sg:nom:m3:pos,space,disamb
plan,plan,subst:sg:nom:m3,space,disamb
zagospodarowania,zagospodarować,ger:sg:gen:n:perf:aff,space,disamb
przestrzennego,przestrzenny,adj:sg:gen:m3:pos,none,new
",",",",interp,none,disamb
decyzja,decyzja,subst:sg:nom:f,space,disamb
o,o,prep:loc,space,disamb
warunkach,warunki,subst:pl:loc:n,space,disamb
