word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
28,28,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
153,153,adj:sg:nom:f:pos,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
6,6,adj:sg:gen:m3:pos,space,disamb
lutego,luty,subst:sg:gen:m3,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,none,new
powszechnym,powszechny,adj:sg:loc:n:pos,space,disamb
ubezpieczeniu,ubezpieczenie,subst:sg:loc:n,space,disamb
zdrowotnym,zdrowotny,adj:sg:loc:n:pos,space,disamb
Rozdział,rozdział,subst:sg:nom:m3,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
Przepisy,przepis,subst:pl:nom:m3,none,new
ogólne,ogólny,adj:pl:nom:m3:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Wprowadza,wprowadzać,fin:sg:ter:imperf,none,new
się,się,qub,space,disamb
powszechne,powszechny,adj:sg:nom:n:pos,space,disamb
obowiązkowe,obowiązkowy,adj:sg:acc:n:pos,space,disamb
ubezpieczenie,ubezpieczenie,subst:sg:acc:n,space,disamb
zdrowotne,zdrowotny,adj:sg:acc:n:pos,space,disamb
",",",",interp,none,disamb
zwane,zwać,ppas:sg:acc:n:imperf:aff,space,disamb
dalej,daleko,adv:com,space,disamb
"""","""",interp,none,new
ubezpieczeniem,ubezpieczenie,subst:sg:inst:n,none,disamb
zdrowotnym,zdrowotny,adj:sg:inst:n:pos,space,disamb
"""","""",interp,none,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Świadczenia,świadczenie,subst:pl:nom:n,newline,new
określone,określić,ppas:pl:nom:n:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
przepisach,przepis,subst:pl:loc:m3,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
udzielane,udzielać,ppas:pl:nom:f:imperf:aff,space,disamb
są,być,fin:pl:ter:imperf,space,disamb
w,w,prep:loc:nwok,space,disamb
razie,raz,subst:sg:loc:m3,space,disamb
choroby,choroba,subst:sg:gen:f,space,disamb
lub,lub,conj,none,new
urazu,uraz,subst:sg:gen:m3,space,disamb
",",",",interp,none,disamb
ciąży,ciąża,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
porodu,poród,subst:sg:gen:m3,space,disamb
i,i,conj,space,disamb
połogu,połóg,subst:sg:gen:m3,space,disamb
",",",",interp,none,disamb
powszechnej,powszechny,adj:sg:gen:f:pos,space,disamb
akcji,akcja,subst:sg:gen:f,space,disamb
zapobiegania,zapobiegać,ger:sg:gen:n:imperf:aff,space,disamb
chorobom,choroba,subst:pl:dat:f,space,disamb
oraz,oraz,conj,none,new
konieczności,konieczność,subst:sg:gen:f,space,disamb
dokonania,dokonać,ger:sg:gen:n:perf:aff,space,disamb
oceny,ocena,subst:sg:gen:f,space,disamb
stanu,stan,subst:sg:gen:m3,space,disamb
zdrowia,zdrowie,subst:sg:gen:n,space,disamb
wymaganej,wymagać,ppas:sg:gen:f:imperf:aff,space,disamb
na,na,prep:acc,space,disamb
podstawie,podstawa,subst:sg:dat:f,none,new
odrębnych,odrębny,adj:pl:gen:m3:pos,space,disamb
przepisów,przepis,subst:pl:gen:m3,space,disamb
i,i,conj,space,disamb
przysługują,przysługiwać,fin:pl:ter:imperf,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
osobom,osoba,subst:pl:dat:f,space,disamb
podlegającym,podlegać,pact:pl:dat:f:imperf:aff,space,disamb
obowiązkowi,obowiązek,subst:sg:dat:m3,space,disamb
ubezpieczenia,ubezpieczenie,subst:sg:gen:n,space,disamb
",",",",interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
członkom,członek,subst:pl:dat:m1,space,disamb
rodziny,rodzina,subst:sg:gen:f,space,disamb
osób,osoba,subst:pl:gen:f,space,disamb
",",",",interp,none,disamb
o,o,prep:loc,space,disamb
których,który,adj:pl:loc:f:pos,space,disamb
mowa,mowa,subst:sg:nom:f,space,disamb
w,w,prep:loc:nwok,space,disamb
pkt,punkt,brev:npun,space,disamb
1,1,adj:sg:loc:m3:pos,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Ubezpieczonymi,ubezpieczony,subst:pl:inst:m1,newline,new
są,być,fin:pl:ter:imperf,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
osoby,osoba,subst:pl:nom:f,space,disamb
posiadające,posiadać,pact:pl:nom:f:imperf:aff,space,disamb
obywatelstwo,obywatelstwo,subst:sg:acc:n,space,disamb
polskie,polski,adj:sg:nom:n:pos,space,disamb
i,i,conj,space,disamb
zamieszkujące,zamieszkiwać,pact:sg:nom:n:imperf:aff,space,disamb
na,na,prep:loc,space,disamb
terytorium,terytorium,subst:sg:loc:n,space,disamb
Rzeczypospolitej,Rzeczpospolita,subst:sg:gen:f,none,new
Polskiej,polski,adj:sg:gen:f:pos,space,disamb
",",",",interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
cudzoziemcy,cudzoziemiec,subst:pl:nom:m1,space,disamb
zamieszkujący,zamieszkiwać,pact:pl:nom:m1:imperf:aff,space,disamb
lub,lub,conj,space,disamb
przebywający,przebywać,pact:sg:nom:m1:imperf:aff,space,disamb
na,na,prep:loc,space,disamb
terytorium,terytorium,subst:sg:loc:n,space,disamb
Rzeczypospolitej,Rzeczpospolita,subst:sg:gen:f,space,disamb
Polskiej,polski,adj:sg:gen:f:pos,none,new
",",",",interp,none,disamb
z,z,prep:inst:nwok,space,disamb
zastrzeżeniem,zastrzeżenie,subst:sg:inst:n,space,disamb
art,artykuł,brev:pun,space,disamb
.,.,interp,none,disamb
10,10,adj:sg:gen:m3:pos,space,disamb
",",",",interp,none,disamb
którzy,który,adj:pl:nom:m1:pos,none,new
spełnili,spełnić,praet:pl:m1:perf,space,disamb
warunki,warunek,subst:pl:acc:m3,space,disamb
określone,określić,ppas:pl:acc:m3:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
art,artykuł,brev:pun,space,disamb
.,.,interp,none,disamb
3,3,adj:sg:loc:m3:pos,space,disamb
.,.,interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Za,za,prep:acc,newline,new
członka,członek,subst:sg:acc:m1,space,disamb
rodziny,rodzina,subst:sg:gen:f,space,disamb
uważa,uważać,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
małżonka,małżonka,subst:sg:nom:f,space,disamb
",",",",interp,none,disamb
dziecko,dziecko,subst:sg:nom:n,space,disamb
własne,własny,adj:sg:nom:n:pos,space,disamb
",",",",interp,none,disamb
dziecko,dziecko,subst:sg:nom:n,space,disamb
drugiego,drugi,adj:sg:gen:m1:pos,space,disamb
małżonka,małżonka,subst:sg:nom:f,none,new
",",",",interp,none,disamb
dziecko,dziecko,subst:sg:nom:n,space,disamb
przysposobione,przysposobiony,adj:sg:nom:n:pos,space,disamb
",",",",interp,none,disamb
oraz,oraz,conj,space,disamb
wnuka,wnuka,subst:sg:nom:f,space,disamb
i,i,conj,space,disamb
dziecko,dziecko,subst:sg:nom:n,space,disamb
obce,obcy,adj:sg:nom:n:pos,space,disamb
przyjęte,przyjąć,ppas:sg:nom:n:perf:aff,space,disamb
na,na,prep:acc,space,disamb
wychowanie,wychowanie,subst:sg:nom:n,none,new
",",",",interp,none,disamb
również,również,qub,space,disamb
w,w,prep:loc:nwok,space,disamb
ramach,ramy,subst:pl:loc:n,space,disamb
rodziny,rodzina,subst:sg:gen:f,space,disamb
zastępczej,zastępczy,adj:sg:gen:f:pos,space,disamb
-,-,interp,space,disamb
do,do,prep:gen,space,disamb
ukończenia,ukończyć,ger:sg:gen:n:perf:aff,space,disamb
18,18,num:pl:gen:m3:congr,space,disamb
lat,rok,subst:pl:gen:m3,space,disamb
",",",",interp,none,disamb
a,a,conj,none,new
jeżeli,jeżeli,comp,space,disamb
kształci,kształcić,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
dalej,daleko,adv:com,space,disamb
-,-,interp,space,disamb
do,do,prep:gen,space,disamb
ukończenia,ukończyć,ger:sg:gen:n:perf:aff,space,disamb
26,26,num:pl:gen:m3:congr,space,disamb
lat,rok,subst:pl:gen:m3,space,disamb
",",",",interp,none,disamb
a,a,conj,space,disamb
także,także,conj,space,disamb
innych,inny,adj:pl:gen:m1:pos,space,disamb
członków,członek,subst:pl:gen:m1,space,disamb
rodziny,rodzina,subst:pl:nom:f,none,new
zamieszkałych,zamieszkały,adj:pl:gen:f:pos,space,disamb
wspólnie,wspólnie,adv:pos,space,disamb
z,z,prep:inst:nwok,space,disamb
ubezpieczonym,ubezpieczony,subst:sg:inst:m1,space,disamb
",",",",interp,none,disamb
pozostających,pozostawać,pact:pl:gen:m1:imperf:aff,space,disamb
na,na,prep:acc,space,disamb
jego,on,ppron3:sg:gen:m1:ter:akc:npraep,space,disamb
wyłącznym,wyłączny,adj:sg:loc:n:pos,none,new
utrzymaniu,utrzymanie,subst:sg:loc:n,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Obowiązek,obowiązek,subst:sg:nom:m3,newline,new
ubezpieczenia,ubezpieczenie,subst:sg:gen:n,space,disamb
zdrowotnego,zdrowotny,adj:sg:gen:n:pos,space,disamb
uważa,uważać,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
za,za,prep:acc,space,disamb
wykonany,wykonać,ppas:sg:acc:m3:perf:aff,space,disamb
po,po,prep:loc,space,disamb
zgłoszeniu,zgłosić,ger:sg:loc:n:perf:aff,space,disamb
osoby,osoba,subst:sg:gen:f,none,new
podlegającej,podlegać,pact:sg:gen:f:imperf:aff,space,disamb
ubezpieczeniu,ubezpieczenie,subst:sg:dat:n,space,disamb
oraz,oraz,conj,space,disamb
opłaceniu,opłacić,ger:sg:dat:n:perf:aff,space,disamb
składki,składka,subst:sg:gen:f,space,disamb
w,w,prep:loc:nwok,space,disamb
terminie,termin,subst:sg:loc:m3,space,disamb
określonym,określić,ppas:sg:inst:n:perf:aff,none,new
na,na,prep:loc,space,disamb
podstawie,podstawa,subst:sg:loc:f,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
do,do,prep:gen,space,disamb
kasy,kasa,subst:sg:gen:f,space,disamb
powszechnego,powszechny,adj:sg:gen:n:pos,space,disamb
ubezpieczenia,ubezpieczenie,subst:sg:gen:n,space,disamb
zdrowotnego,zdrowotny,adj:sg:gen:m3:pos,none,new
",",",",interp,none,disamb
z,z,prep:inst:nwok,space,disamb
zastrzeżeniem,zastrzeżenie,subst:sg:inst:n,space,disamb
ust,ustęp,brev:pun,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:gen:m3:pos,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Wymóg,wymóg,subst:sg:nom:m3,newline,new
zgłoszenia,zgłoszenie,subst:sg:gen:n,space,disamb
nie,nie,qub,space,disamb
dotyczy,dotyczyć,fin:sg:ter:imperf,space,disamb
