word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
129,129,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
1444,1444,num:pl:nom:m3:congr,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
6,6,adj:sg:gen:m3:pos,space,disamb
września,wrzesień,subst:sg:gen:m3,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
o,o,prep:loc,none,new
zmianie,zmiana,subst:sg:loc:f,space,disamb
ustawy,ustawa,subst:sg:gen:f,space,disamb
-,-,interp,space,disamb
Prawo,prawo,subst:sg:nom:n,space,disamb
o,o,prep:loc,space,disamb
ruchu,ruch,subst:sg:loc:m3,space,disamb
drogowym,drogowy,adj:sg:loc:m3:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
W,w,prep:loc:nwok,none,new
ustawie,ustawa,subst:sg:loc:f,space,disamb
z,z,prep:gen:nwok,space,disamb
dnia,dzień,subst:sg:gen:m3,space,disamb
20,20,adj:sg:gen:m3:pos,space,disamb
czerwca,czerwiec,subst:sg:gen:m3,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
-,-,interp,newline,new
Prawo,prawo,subst:sg:nom:n,space,disamb
o,o,prep:loc,space,disamb
ruchu,ruch,subst:sg:loc:m3,space,disamb
drogowym,drogowy,adj:sg:loc:m3:pos,space,disamb
(,(,interp,space,disamb
Dz,dziennik,brev:pun,none,disamb
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,space,disamb
98,98,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
602,602,num:pl:nom:m3:congr,none,new
",",",",interp,none,disamb
Nr,numer,brev:npun,space,disamb
123,123,num:pl:nom:m3:congr,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
779,779,adj:sg:nom:f:pos,space,disamb
i,i,conj,space,disamb
Nr,numer,brev:npun,space,disamb
160,160,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
1086,1086,adj:sg:nom:m3:pos,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1998,1998,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
106,106,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
668,668,num:pl:nom:m3:rec,space,disamb
i,i,conj,space,disamb
Nr,numer,brev:npun,space,disamb
133,133,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,none,new
.,.,interp,none,disamb
872,872,num:pl:nom:f:congr,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1999,1999,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
106,106,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
1216,1216,num:pl:nom:f:rec,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,space,disamb
2000,2000,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
12,12,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
136,136,adj:sg:nom:f:pos,space,disamb
",",",",interp,none,disamb
Nr,numer,brev:npun,space,disamb
43,43,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
483,483,num:pl:nom:m3:congr,none,new
",",",",interp,none,disamb
Nr,numer,brev:npun,space,disamb
53,53,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
649,649,adj:sg:nom:f:pos,space,disamb
oraz,oraz,conj,space,disamb
z,z,prep:gen:nwok,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
27,27,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
298,298,adj:sg:loc:m3:pos,space,disamb
),),interp,none,disamb
wprowadza,wprowadzać,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
następujące,następować,pact:pl:acc:n:imperf:aff,space,disamb
zmiany,zmiana,subst:pl:nom:f,none,new
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
w,w,prep:loc:nwok,space,disamb
art,artykuł,brev:pun,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:loc:m3:pos,space,disamb
:,:,interp,none,disamb
a,a,subst:sg:nom:n,none,new
),),interp,none,disamb
pkt,punkt,brev:npun,space,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
otrzymuje,otrzymywać,fin:sg:ter:imperf,space,disamb
brzmienie,brzmienie,subst:sg:acc:n,space,disamb
:,:,interp,none,disamb
"""","""",interp,none,new
2,2,adj:sg:nom:f:pos,none,disamb
),),interp,none,disamb
droga,droga,subst:sg:nom:f,space,disamb
twarda,twardy,adj:sg:nom:f:pos,space,disamb
-,-,interp,space,disamb
drogę,droga,subst:sg:acc:f,space,disamb
z,z,prep:inst:nwok,space,disamb
jezdnią,jezdnia,subst:sg:inst:f,space,disamb
o,o,prep:loc,space,disamb
nawierzchni,nawierzchnia,subst:sg:loc:f,space,disamb
bitumicznej,bitumiczny,adj:sg:loc:f:pos,space,disamb
",",",",interp,none,disamb
betonowej,betonowy,adj:sg:loc:f:pos,space,disamb
",",",",interp,none,disamb
kostkowej,kostkowy,adj:sg:gen:f:pos,none,new
",",",",interp,none,disamb
klinkierowej,klinkierowy,adj:sg:loc:f:pos,space,disamb
lub,lub,conj,space,disamb
brukowcowej,brukowcowej,adj:sg:gen:f:pos,space,disamb
oraz,oraz,conj,space,disamb
z,z,prep:gen:nwok,space,disamb
płyt,płyta,subst:pl:gen:f,space,disamb
betonowych,betonowy,adj:pl:gen:f:pos,space,disamb
lub,lub,conj,space,disamb
kamienno,kamienno,adja,none,new
-,-,interp,none,disamb
betonowych,betonowy,adj:pl:gen:f:pos,none,disamb
",",",",interp,none,disamb
jeżeli,jeżeli,comp,space,disamb
długość,długość,subst:sg:nom:f,space,disamb
nawierzchni,nawierzchnia,subst:sg:gen:f,space,disamb
przekracza,przekraczać,fin:sg:ter:imperf,space,disamb
20,20,num:pl:acc:m3:rec,space,disamb
m,metr,brev:npun,space,disamb
;,;,interp,none,disamb
inne,inny,adj:pl:nom:n:pos,space,disamb
drogi,droga,subst:pl:nom:f,none,new
są,być,fin:pl:ter:imperf,space,disamb
drogami,droga,subst:pl:inst:f,space,disamb
gruntowymi,gruntowy,adj:pl:inst:f:pos,space,disamb
",",",",interp,none,disamb
"""","""",interp,none,disamb
",",",",interp,none,disamb
b,b,subst:sg:nom:n,none,new
),),interp,none,disamb
pkt,punkt,brev:npun,space,disamb
5,5,adj:sg:nom:m3:pos,space,disamb
otrzymuje,otrzymywać,fin:sg:ter:imperf,space,disamb
brzmienie,brzmienie,subst:sg:acc:n,space,disamb
:,:,interp,none,disamb
"""","""",interp,none,new
5,5,adj:sg:nom:f:pos,none,disamb
),),interp,none,disamb
droga,droga,subst:sg:nom:f,space,disamb
dla,dla,prep:gen,space,disamb
rowerów,rower,subst:pl:gen:m3,space,disamb
-,-,interp,space,disamb
drogę,droga,subst:sg:acc:f,space,disamb
lub,lub,conj,space,disamb
jej,on,ppron3:sg:gen:f:ter:akc:npraep,space,disamb
część,część,subst:sg:acc:f,space,disamb
przeznaczoną,przeznaczyć,ppas:sg:acc:f:perf:aff,space,disamb
do,do,prep:gen,space,disamb
ruchu,ruch,subst:sg:gen:m3,space,disamb
rowerów,rower,subst:pl:gen:m3,space,disamb
jednośladowych,jednośladowy,adj:pl:gen:n:pos,none,new
",",",",interp,none,disamb
oznaczoną,oznaczyć,ppas:sg:inst:f:perf:aff,space,disamb
odpowiednimi,odpowiedni,adj:pl:inst:m3:pos,space,disamb
znakami,znak,subst:pl:inst:m3,space,disamb
drogowymi,drogowy,adj:pl:inst:m3:pos,space,disamb
",",",",interp,none,disamb
"""","""",interp,none,disamb
",",",",interp,none,disamb
c,c,subst:sg:nom:n,none,new
),),interp,none,disamb
pkt,punkt,brev:npun,space,disamb
6,6,adj:sg:nom:m3:pos,space,disamb
otrzymuje,otrzymywać,fin:sg:ter:imperf,space,disamb
brzmienie,brzmienie,subst:sg:acc:n,space,disamb
:,:,interp,none,disamb
"""","""",interp,none,new
6,6,adj:sg:nom:f:pos,none,disamb
),),interp,none,disamb
jezdnia,jezdnia,subst:sg:nom:f,space,disamb
-,-,interp,space,disamb
część,część,subst:sg:nom:f,space,disamb
drogi,droga,subst:sg:gen:f,space,disamb
przeznaczoną,przeznaczyć,ppas:sg:inst:f:perf:aff,space,disamb
do,do,prep:gen,space,disamb
ruchu,ruch,subst:sg:gen:m3,space,disamb
pojazdów,pojazd,subst:pl:gen:m3,space,disamb
;,;,interp,none,disamb
określenie,określenie,subst:sg:nom:n,space,disamb
to,to,pred,space,disamb
nie,nie,qub,none,new
dotyczy,dotyczyć,fin:sg:ter:imperf,space,disamb
torowisk,torowisko,subst:pl:gen:n,space,disamb
wydzielonych,wydzielić,ppas:pl:gen:n:perf:aff,space,disamb
z,z,prep:gen:nwok,space,disamb
jezdni,jezdnia,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
"""","""",interp,none,disamb
",",",",interp,none,disamb
d,d,subst:sg:nom:n,none,new
),),interp,none,disamb
pkt,punkt,brev:npun,space,disamb
11,11,adj:sg:nom:m3:pos,space,disamb
otrzymuje,otrzymywać,fin:sg:ter:imperf,space,disamb
brzmienie,brzmienie,subst:sg:acc:n,space,disamb
:,:,interp,none,disamb
"""","""",interp,none,new
11,11,adj:sg:nom:m3:pos,none,disamb
),),interp,none,disamb
przejście,przejście,subst:sg:nom:n,space,disamb
dla,dla,prep:gen,space,disamb
pieszych,pieszy,subst:pl:gen:m1,space,disamb
-,-,interp,space,disamb
powierzchnię,powierzchnia,subst:sg:acc:f,space,disamb
jezdni,jezdnia,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
drogi,droga,subst:sg:gen:f,space,disamb
dla,dla,prep:gen,space,disamb
rowerów,rower,subst:pl:gen:m3,space,disamb
lub,lub,conj,space,disamb
torowiska,torowisko,subst:pl:nom:n,none,new
przeznaczoną,przeznaczoną,ppas:pl:nom:n:perf:aff,space,disamb
do,do,prep:gen,space,disamb
przechodzenia,przechodzić,ger:sg:gen:n:imperf:aff,space,disamb
przez,przez,prep:acc:nwok,space,disamb
pieszych,pieszy,subst:pl:acc:m1,space,disamb
",",",",interp,none,disamb
oznaczoną,oznaczyć,ppas:sg:acc:f:perf:aff,space,disamb
odpowiednimi,odpowiedni,adj:pl:inst:m3:pos,none,new
znakami,znak,subst:pl:inst:m3,space,disamb
drogowymi,drogowy,adj:pl:inst:m3:pos,space,disamb
",",",",interp,none,disamb
"""","""",interp,none,disamb
",",",",interp,none,disamb
e,e,interj,none,new
