word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
115,115,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
1229,1229,adj:sg:nom:f:pos,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
18,18,adj:sg:gen:m3:pos,space,disamb
lipca,lipiec,subst:sg:gen:m3,space,disamb
2001,2001,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Prawo,prawo,subst:sg:nom:n,none,new
wodne,wodny,adj:sg:nom:n:pos,space,disamb
Dział,dział,subst:sg:nom:m3,none,new
I,I,adj:sg:nom:m3:pos,space,disamb
Zasady,zasada,subst:pl:nom:f,none,new
ogólne,ogólny,adj:pl:nom:f:pos,space,disamb
Rozdział,rozdział,subst:sg:nom:m3,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
Przepisy,przepis,subst:pl:nom:m3,none,new
ogólne,ogólny,adj:pl:nom:m3:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Ustawa,ustawa,subst:sg:nom:f,newline,new
reguluje,regulować,fin:sg:ter:imperf,space,disamb
gospodarowanie,gospodarowanie,subst:sg:acc:n,space,disamb
wodami,woda,subst:pl:inst:f,space,disamb
zgodnie,zgodnie,adv:pos,space,disamb
z,z,prep:inst:nwok,space,disamb
zasadą,zasada,subst:sg:inst:f,space,disamb
zrównoważonego,zrównoważyć,ppas:sg:gen:n:perf:aff,space,disamb
rozwoju,rozwój,subst:sg:gen:m3,none,new
",",",",interp,none,disamb
a,a,conj,space,disamb
w,w,prep:loc:nwok,space,disamb
szczególności,szczególność,subst:sg:loc:f,space,disamb
kształtowanie,kształtować,ger:sg:nom:n:imperf:aff,space,disamb
i,i,conj,space,disamb
ochronę,ochrona,subst:sg:acc:f,space,disamb
zasobów,zasób,subst:pl:gen:m3,space,disamb
wodnych,wodny,adj:pl:gen:m3:pos,space,disamb
",",",",interp,none,disamb
korzystanie,korzystać,ger:sg:nom:n:imperf:aff,none,new
z,z,prep:gen:nwok,space,disamb
wód,woda,subst:pl:gen:f,space,disamb
oraz,oraz,conj,space,disamb
zarządzanie,zarządzać,ger:sg:nom:n:imperf:aff,space,disamb
zasobami,zasób,subst:pl:inst:m3,space,disamb
wodnymi,wodny,adj:pl:inst:m3:pos,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Gospodarowanie,gospodarowanie,subst:sg:nom:n,newline,new
wodami,woda,subst:pl:inst:f,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
prowadzone,prowadzić,ppas:sg:nom:n:imperf:aff,space,disamb
z,z,prep:inst:nwok,space,disamb
zachowaniem,zachować,ger:sg:inst:n:perf:aff,space,disamb
zasady,zasada,subst:sg:gen:f,space,disamb
racjonalnego,racjonalny,adj:sg:gen:m3:pos,space,disamb
i,i,conj,space,disamb
całościowego,całościowy,adj:sg:gen:n:pos,none,new
traktowania,traktować,ger:sg:gen:n:imperf:aff,space,disamb
zasobów,zasób,subst:pl:gen:m3,space,disamb
wód,woda,subst:pl:gen:f,space,disamb
powierzchniowych,powierzchniowy,adj:pl:gen:f:pos,space,disamb
i,i,conj,space,disamb
podziemnych,podziemny,adj:pl:gen:f:pos,space,disamb
",",",",interp,none,disamb
z,z,prep:gen:nwok,space,disamb
uwzględnieniem,uwzględnić,ger:sg:inst:n:perf:aff,none,new
ich,on,ppron3:pl:gen:n:ter:akc:npraep,space,disamb
ilości,ilość,subst:sg:gen:f,space,disamb
i,i,conj,space,disamb
jakości,jakość,subst:sg:gen:f,space,disamb
.,.,interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Gospodarowanie,gospodarowanie,subst:sg:nom:n,newline,new
wodami,woda,subst:pl:inst:f,space,disamb
uwzględnia,uwzględniać,fin:sg:ter:imperf,space,disamb
zasadę,zasada,subst:sg:acc:f,space,disamb
wspólnych,wspólny,adj:pl:gen:m3:pos,space,disamb
interesów,interes,subst:pl:gen:m3,space,disamb
i,i,conj,space,disamb
jest,być,fin:sg:ter:imperf,space,disamb
realizowane,realizować,ppas:pl:nom:f:imperf:aff,none,new
przez,przez,prep:acc:nwok,space,disamb
współpracę,współpraca,subst:sg:acc:f,space,disamb
administracji,administracja,subst:sg:gen:f,space,disamb
publicznej,publiczny,adj:sg:gen:f:pos,space,disamb
",",",",interp,none,disamb
użytkowników,użytkownik,subst:pl:gen:m1,space,disamb
wód,woda,subst:pl:gen:f,space,disamb
i,i,conj,space,disamb
przedstawicieli,przedstawiciel,subst:pl:gen:m1,none,new
lokalnych,lokalny,adj:pl:gen:f:pos,space,disamb
społeczności,społeczność,subst:pl:gen:f,space,disamb
tak,tak,adv:pos,space,disamb
",",",",interp,none,disamb
aby,aby,comp,space,disamb
uzyskać,uzyskać,inf:perf,space,disamb
maksymalne,maksymalny,adj:pl:acc:f:pos,space,disamb
korzyści,korzyść,subst:pl:acc:f,space,disamb
społeczne,społeczny,adj:pl:nom:m3:pos,none,new
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Zarządzanie,zarządzać,ger:sg:nom:n:imperf:aff,newline,new
zasobami,zasób,subst:pl:inst:m3,space,disamb
wodnymi,wodny,adj:pl:inst:m3:pos,space,disamb
służy,służyć,fin:sg:ter:imperf,space,disamb
zaspokajaniu,zaspokajać,ger:sg:dat:n:imperf:aff,space,disamb
potrzeb,potrzeba,subst:pl:gen:f,space,disamb
ludności,ludność,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
gospodarki,gospodarka,subst:sg:gen:f,none,new
",",",",interp,none,disamb
ochronie,ochrona,subst:sg:dat:f,space,disamb
wód,woda,subst:pl:gen:f,space,disamb
i,i,conj,space,disamb
środowiska,środowisko,subst:sg:gen:n,space,disamb
związanego,związany,adj:sg:gen:n:pos,space,disamb
z,z,prep:inst:nwok,space,disamb
tymi,ten,adj:pl:inst:m3:pos,space,disamb
zasobami,zasób,subst:pl:inst:m3,space,disamb
",",",",interp,none,disamb
w,w,prep:loc:nwok,space,disamb
szczególności,szczególność,subst:pl:nom:f,none,new
w,w,prep:loc:nwok,space,disamb
zakresie,zakres,subst:sg:loc:m3,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zapewnienia,zapewnienie,subst:sg:gen:n,space,disamb
odpowiedniej,odpowiedni,adj:sg:gen:f:pos,space,disamb
ilości,ilość,subst:sg:gen:f,space,disamb
i,i,conj,space,disamb
jakości,jakość,subst:sg:gen:f,space,disamb
wody,woda,subst:sg:gen:f,space,disamb
dla,dla,prep:gen,space,disamb
ludności,ludność,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
ochrony,ochrona,subst:sg:gen:f,space,disamb
zasobów,zasób,subst:pl:gen:m3,space,disamb
wodnych,wodny,adj:pl:gen:m3:pos,space,disamb
przed,przed,prep:inst:nwok,space,disamb
zanieczyszczeniem,zanieczyszczenie,subst:sg:inst:n,space,disamb
oraz,oraz,conj,space,disamb
niewłaściwą,niewłaściwy,adj:sg:inst:f:pos,space,disamb
lub,lub,conj,space,disamb
nadmierną,nadmierny,adj:sg:inst:f:pos,none,new
eksploatacją,eksploatacja,subst:sg:inst:f,space,disamb
",",",",interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
utrzymywania,utrzymywać,ger:sg:gen:n:imperf:aff,space,disamb
lub,lub,conj,space,disamb
poprawy,poprawa,subst:sg:gen:f,space,disamb
stanu,stan,subst:sg:gen:m3,space,disamb
ekosystemów,ekosystem,subst:pl:gen:m3,space,disamb
wodnych,wodny,adj:pl:gen:m3:pos,space,disamb
i,i,conj,space,disamb
od,od,prep:gen:nwok,space,disamb
wody,woda,subst:sg:gen:f,space,disamb
zależnych,zależny,adj:pl:gen:f:pos,space,disamb
",",",",interp,none,disamb
4,4,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
ochrony,ochrona,subst:sg:gen:f,space,disamb
przed,przed,prep:inst:nwok,space,disamb
powodzią,powódź,subst:sg:inst:f,space,disamb
oraz,oraz,conj,space,disamb
suszą,susza,subst:sg:inst:f,space,disamb
",",",",interp,none,disamb
5,5,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zapewnienia,zapewnić,ger:sg:gen:n:perf:aff,space,disamb
wody,woda,subst:sg:gen:f,space,disamb
na,na,prep:acc,space,disamb
potrzeby,potrzeba,subst:pl:acc:f,space,disamb
rolnictwa,rolnictwo,subst:sg:gen:n,space,disamb
oraz,oraz,conj,space,disamb
przemysłu,przemysł,subst:sg:gen:m3,space,disamb
",",",",interp,none,disamb
6,6,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
zaspokojenia,zaspokoić,ger:sg:gen:n:perf:aff,space,disamb
potrzeb,potrzeba,subst:pl:gen:f,space,disamb
związanych,związany,adj:pl:gen:f:pos,space,disamb
z,z,prep:inst:nwok,space,disamb
turystyką,turystyka,subst:sg:inst:f,space,disamb
",",",",interp,none,disamb
sportem,sport,subst:sg:inst:m3,space,disamb
oraz,oraz,conj,space,disamb
rekreacją,rekreacja,subst:sg:inst:f,space,disamb
",",",",interp,none,disamb
7,7,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
tworzenia,tworzyć,ger:sg:gen:n:imperf:aff,space,disamb
warunków,warunki,subst:pl:gen:n,space,disamb
dla,dla,prep:gen,space,disamb
energetycznego,energetyczny,adj:sg:gen:m3:pos,space,disamb
",",",",interp,none,disamb
transportowego,transportowy,adj:sg:gen:m3:pos,space,disamb
oraz,oraz,conj,space,disamb
rybackiego,rybacki,adj:sg:gen:n:pos,space,disamb
wykorzystania,wykorzystać,ger:sg:gen:n:perf:aff,none,new
wód,woda,subst:pl:gen:f,space,disamb
.,.,interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
.,.,interp,none,disamb
Instrumenty,instrument,subst:pl:nom:m3,newline,new
zarządzania,zarządzać,ger:sg:gen:n:imperf:aff,space,disamb
zasobami,zasób,subst:pl:inst:m3,space,disamb
wodnymi,wodny,adj:pl:inst:m3:pos,space,disamb
stanowią,stanowić,fin:pl:ter:imperf,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
plany,plan,subst:pl:nom:m3,space,disamb
gospodarki,gospodarka,subst:sg:gen:f,space,disamb
wodnej,wodny,adj:sg:gen:f:pos,space,disamb
",",",",interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
pozwolenia,pozwolenie,subst:pl:acc:n,space,disamb
wodnoprawne,wodnoprawny,adj:pl:acc:n:pos,space,disamb
",",",",interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
opłaty,opłata,subst:pl:acc:f,space,disamb
i,i,conj,space,disamb
należności,należność,subst:sg:gen:f,space,disamb
w,w,prep:loc:nwok,space,disamb
gospodarce,gospodarka,subst:sg:loc:f,space,disamb
wodnej,wodny,adj:sg:loc:f:pos,space,disamb
",",",",interp,none,disamb
4,4,adj:sg:nom:m3:pos,none,new
),),interp,none,disamb
kataster,kataster,subst:sg:nom:m3,space,disamb
wodny,wodny,adj:sg:nom:m3:pos,space,disamb
",",",",interp,none,disamb
5,5,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
