word,base,info,trait,more
Dz,dziennik,brev:pun,none,new
.,.,interp,none,disamb
U,ustawa,brev:pun,none,disamb
.,.,interp,none,disamb
z,z,prep:gen:nwok,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Nr,numer,brev:npun,newline,new
89,1989,num:pl:nom:m3:rec,space,disamb
",",",",interp,none,disamb
poz,pozycja,brev:pun,space,disamb
.,.,interp,none,disamb
555,555,num:pl:nom:m3:rec,space,disamb
USTAWA,ustawa,subst:sg:nom:f,none,new
z,z,prep:gen:nwok,none,new
dnia,dzień,subst:sg:gen:m3,space,disamb
6,6,adj:sg:gen:m3:pos,space,disamb
czerwca,czerwiec,subst:sg:gen:m3,space,disamb
1997,1997,adj:sg:gen:m3:pos,space,disamb
r,rok,brev:pun,space,disamb
.,.,interp,none,disamb
Kodeks,kodeks,subst:sg:nom:m3,none,new
postępowania,postępowanie,subst:sg:gen:n,space,disamb
karnego,karny,adj:sg:gen:n:pos,space,disamb
DZIAŁ,dział,subst:sg:nom:m3,none,new
I,i,conj,space,disamb
Przepisy,przepis,subst:pl:nom:m3,none,new
wstępne,wstępny,adj:pl:nom:m3:pos,space,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Postępowanie,postępowanie,subst:sg:nom:n,none,new
karne,karny,adj:sg:nom:n:pos,space,disamb
w,w,prep:loc:nwok,space,disamb
sprawach,sprawa,subst:pl:loc:f,space,disamb
należących,należeć,pact:pl:loc:f:imperf:aff,space,disamb
do,do,prep:gen,space,disamb
właściwości,właściwość,subst:sg:gen:f,space,disamb
sądów,sąd,subst:pl:gen:m3,space,disamb
toczy,toczyć,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
według,według,prep:gen,none,new
przepisów,przepis,subst:pl:gen:m3,space,disamb
niniejszego,niniejszy,adj:sg:gen:m3:pos,space,disamb
kodeksu,kodeks,subst:sg:gen:m3,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Przepisy,przepis,subst:pl:nom:m3,newline,new
niniejszego,niniejszy,adj:sg:gen:m3:pos,space,disamb
kodeksu,kodeks,subst:sg:gen:m3,space,disamb
mają,mieć,fin:pl:ter:imperf,space,disamb
na,na,prep:loc,space,disamb
celu,cel,subst:sg:loc:m3,space,disamb
takie,taki,adj:sg:acc:n:pos,space,disamb
ukształtowanie,ukształtować,ger:sg:acc:n:perf:aff,space,disamb
postępowania,postępowanie,subst:sg:gen:n,space,disamb
karnego,karny,adj:sg:gen:m3:pos,none,new
",",",",interp,none,disamb
aby,aby,comp,space,disamb
:,:,interp,none,disamb
1,1,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
sprawca,sprawca,subst:sg:nom:m1,space,disamb
przestępstwa,przestępstwo,subst:sg:gen:n,space,disamb
został,zostać,praet:sg:m1:perf,space,disamb
wykryty,wykryć,ppas:sg:nom:m1:perf:aff,space,disamb
i,i,conj,space,disamb
pociągnięty,pociągnąć,ppas:sg:nom:m1:perf:aff,space,disamb
do,do,prep:gen,space,disamb
odpowiedzialności,odpowiedzialność,subst:sg:gen:f,space,disamb
karnej,karny,adj:sg:gen:f:pos,none,new
",",",",interp,none,disamb
a,a,conj,space,disamb
osoba,osoba,subst:sg:nom:f,space,disamb
niewinna,niewinny,adj:sg:nom:f:pos,space,disamb
nie,nie,qub,space,disamb
poniosła,ponieść,praet:sg:f:perf,space,disamb
tej,ten,adj:sg:gen:f:pos,space,disamb
odpowiedzialności,odpowiedzialność,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
2,2,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
przez,przez,prep:acc:nwok,space,disamb
trafne,trafny,adj:sg:acc:n:pos,space,disamb
zastosowanie,zastosowanie,subst:sg:acc:n,space,disamb
środków,środek,subst:pl:gen:m3,space,disamb
przewidzianych,przewidzieć,ppas:pl:gen:m3:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
prawie,prawo,subst:sg:loc:n,space,disamb
karnym,karny,adj:sg:loc:n:pos,space,disamb
oraz,oraz,conj,none,new
ujawnienie,ujawnić,ger:sg:nom:n:perf:aff,space,disamb
okoliczności,okoliczność,subst:pl:gen:f,space,disamb
sprzyjających,sprzyjać,pact:pl:gen:f:imperf:aff,space,disamb
popełnieniu,popełnić,ger:sg:dat:n:perf:aff,space,disamb
przestępstwa,przestępstwo,subst:sg:gen:n,space,disamb
osiągnięte,osiągnąć,ppas:pl:nom:n:perf:aff,none,new
zostały,zostać,praet:pl:f:perf,space,disamb
zadania,zadanie,subst:pl:nom:n,space,disamb
postępowania,postępowanie,subst:sg:gen:n,space,disamb
karnego,karny,adj:sg:gen:n:pos,space,disamb
nie,nie,qub,space,disamb
tylko,tylko,conj,space,disamb
w,w,prep:loc:nwok,none,new
zwalczaniu,zwalczać,ger:sg:loc:n:imperf:aff,space,disamb
przestępstw,przestępstwo,subst:pl:gen:n,space,disamb
",",",",interp,none,disamb
lecz,lecz,conj,space,disamb
również,również,qub,space,disamb
w,w,prep:loc:nwok,space,disamb
zapobieganiu,zapobieganie,subst:sg:loc:n,space,disamb
im,on,ppron3:pl:dat:m1:ter:akc:npraep,space,disamb
oraz,oraz,conj,none,new
w,w,prep:loc:nwok,space,disamb
umacnianiu,umacniać,ger:sg:loc:n:imperf:aff,space,disamb
poszanowania,poszanowanie,subst:sg:gen:n,space,disamb
prawa,prawo,subst:sg:gen:n,space,disamb
i,i,conj,space,disamb
zasad,zasada,subst:pl:gen:f,space,disamb
współżycia,współżycie,subst:sg:gen:n,space,disamb
społecznego,społeczny,adj:sg:gen:n:pos,space,disamb
",",",",interp,none,disamb
3,3,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
uwzględnione,uwzględnić,ppas:pl:nom:m3:perf:aff,space,disamb
zostały,zostać,praet:pl:m3:perf,space,disamb
prawnie,prawnie,adv:pos,space,disamb
chronione,chronić,ppas:pl:nom:m3:imperf:aff,space,disamb
interesy,interes,subst:pl:nom:m3,space,disamb
pokrzywdzonego,pokrzywdzony,subst:sg:gen:m1,space,disamb
",",",",interp,none,disamb
4,4,adj:sg:nom:n:pos,none,new
),),interp,none,disamb
rozstrzygnięcie,rozstrzygnięcie,subst:sg:nom:n,space,disamb
sprawy,sprawa,subst:sg:gen:f,space,disamb
nastąpiło,nastąpić,praet:sg:n:perf,space,disamb
w,w,prep:loc:nwok,space,disamb
rozsądnym,rozsądny,adj:sg:loc:m3:pos,space,disamb
terminie,termin,subst:sg:loc:m3,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Podstawę,podstawa,subst:sg:acc:f,newline,new
wszelkich,wszelki,adj:pl:gen:n:pos,space,disamb
rozstrzygnięć,rozstrzygnięcie,subst:pl:gen:n,space,disamb
powinny,powinien,winien:pl:n:imperf,space,disamb
stanowić,stanowić,inf:imperf,space,disamb
prawdziwe,prawdziwy,adj:pl:nom:n:pos,space,disamb
ustalenia,ustalenie,subst:pl:nom:n,space,disamb
faktyczne,faktyczny,adj:pl:nom:f:pos,none,new
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
3,3,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
W,w,prep:loc:nwok,none,new
granicach,granica,subst:pl:loc:f,space,disamb
określonych,określić,ppas:pl:loc:f:perf:aff,space,disamb
w,w,prep:loc:nwok,space,disamb
ustawie,ustawa,subst:sg:loc:f,space,disamb
postępowanie,postępowanie,subst:sg:nom:n,space,disamb
karne,karny,adj:sg:nom:n:pos,space,disamb
odbywa,odbywać,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
z,z,prep:inst:nwok,space,disamb
udziałem,udział,subst:sg:inst:m3,space,disamb
czynnika,czynnik,subst:sg:gen:m3,none,new
społecznego,społeczny,adj:sg:gen:m3:pos,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
4,4,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Organy,organ,subst:pl:nom:m3,none,new
prowadzące,prowadzić,pact:pl:nom:m3:imperf:aff,space,disamb
postępowanie,postępowanie,subst:sg:acc:n,space,disamb
karne,karny,adj:sg:nom:n:pos,space,disamb
są,być,fin:pl:ter:imperf,space,disamb
obowiązane,obowiązany,adj:pl:nom:m3:pos,space,disamb
badać,badać,inf:imperf,space,disamb
oraz,oraz,conj,space,disamb
uwzględniać,uwzględniać,inf:imperf,space,disamb
okoliczności,okoliczność,subst:pl:nom:f,none,new
przemawiające,przemawiać,pact:pl:nom:f:imperf:aff,space,disamb
zarówno,zarówno,conj,space,disamb
na,na,prep:acc,space,disamb
korzyść,korzyść,subst:sg:acc:f,space,disamb
",",",",interp,none,disamb
jak,jak,conj,space,disamb
i,i,conj,space,disamb
na,na,prep:acc,space,disamb
niekorzyść,niekorzyść,subst:sg:acc:f,space,disamb
oskarżonego,oskarżony,subst:sg:gen:m1,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
5,5,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
1,1,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Oskarżonego,oskarżony,subst:sg:gen:m1,newline,new
uważa,uważać,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
za,za,prep:acc,space,disamb
niewinnego,niewinny,adj:sg:acc:m1:pos,space,disamb
",",",",interp,none,disamb
dopóki,dopóki,comp,space,disamb
wina,wino,subst:sg:gen:n,space,disamb
jego,on,ppron3:sg:gen:m1:ter:akc:npraep,space,disamb
nie,nie,qub,space,disamb
zostanie,zostać,fin:sg:ter:perf,space,disamb
udowodniona,udowodnić,ppas:sg:nom:f:perf:aff,none,new
i,i,conj,space,disamb
stwierdzona,stwierdzić,ppas:sg:nom:f:perf:aff,space,disamb
prawomocnym,prawomocny,adj:sg:inst:n:pos,space,disamb
orzeczeniem,orzeczenie,subst:sg:inst:n,space,disamb
sądu,sąd,subst:sg:gen:m3,space,disamb
.,.,interp,none,disamb
§,§,interp,none,new
2,2,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Nie,nie,qub,newline,new
dające,dawać,pact:pl:acc:f:imperf:aff,space,disamb
się,się,qub,space,disamb
usunąć,usunąć,inf:perf,space,disamb
wątpliwości,wątpliwość,subst:pl:gen:f,space,disamb
rozstrzyga,rozstrzygać,fin:sg:ter:imperf,space,disamb
się,się,qub,space,disamb
na,na,prep:acc,space,disamb
korzyść,korzyść,subst:sg:acc:f,space,disamb
oskarżonego,oskarżony,subst:sg:gen:m1,space,disamb
.,.,interp,none,disamb
Art,artykuł,brev:pun,none,new
.,.,interp,none,disamb
6,6,adj:sg:nom:m3:pos,space,disamb
.,.,interp,none,disamb
Oskarżonemu,oskarżony,subst:sg:dat:m1,none,new
przysługuje,przysługiwać,fin:sg:ter:imperf,space,disamb
prawo,prawo,subst:sg:nom:n,space,disamb
do,do,prep:gen,space,disamb
obrony,obrona,subst:sg:gen:f,space,disamb
",",",",interp,none,disamb
w,w,prep:loc:nwok,space,disamb
tym,to,subst:sg:loc:n,space,disamb
prawo,prawo,subst:sg:nom:n,space,disamb
do,do,prep:gen,space,disamb
korzystania,korzystać,ger:sg:gen:n:imperf:aff,space,disamb
z,z,prep:gen:nwok,space,disamb
pomocy,pomoc,subst:sg:gen:f,none,new
obrońcy,obrońca,subst:sg:gen:m1,space,disamb
",",",",interp,none,disamb
o,o,prep:loc,space,disamb
czym,co,subst:sg:loc:n,space,disamb
należy,należeć,fin:sg:ter:imperf,space,disamb
go,on,ppron3:sg:acc:m1:ter:nakc:npraep,space,disamb
pouczyć,pouczyć,inf:perf,space,disamb
.,.,interp,none,disamb
